问题,答案
问题:什么是连挂头，它在机床上的工作方式是什么样的？,答案:连挂头是一种不能独立工作的部件，只有主运动，进给运动是由机床上其他部件带动获得的。连挂头的结构形式和在机床上的安装位置由被加工孔的位置和进给动力的来源决定。
问题:连挂头常见的几种传动方式是什么？,答案:连挂头常见的几种传动方式包括立式推杆传递进给运动和卧式推杆传递进给运动。图 5-142 所示为连挂头常见的几种传动方式。
问题:图 5-143 所示的单轴连挂头结构是如何工作的？,答案:电机 1 经齿轮 2 和 3 通过花键套 4 带动主轴 9 旋转，主轴装在带有齿条的套筒 8 中，套筒前端装有固定钻模架 10，以保证钻头有良好的导向。支架 5 装在机床立式动力滑台的侧面上，可以套在齿条杆 6 上。当立式动力滑台向下进给时，支架推着齿条推杅向下移动，带动齿轮 12 和 11 转动，使主轴套筒 8 向前移动，实现刀具进给。
问题:什么是连挂头，它有哪些种类？,答案:连挂头是一种用于加工零件的机械装置，可以进行单轴或多轴的加工。图5-144所示是双轴连挂头，与单轴连挂头的工作传动原理和结构相似，主要区别在于可以同时对两个孔进行加工，并在退刀时通过齿条推杆随滑台上升使主轴退回原位。
问题:连挂头的进给速度取决于哪些因素？,答案:连挂头的进给速度取决于扩展式动力滑台的进给速度和齿轮12与11的齿数比。
问题:连挂头中的弹簧12的作用是什么？,答案:连挂头中的弹簧12的作用是保证在被加工零件钻穿时，工具不会因为齿条推杆13的自重而快速向前冲。同时，它还可以起到消除传动间隙的作用，以保证进给稳定。
问题:卧式推杆传动进给的连挂头如何工作？,答案:卧式推杆传动进给的连挂头是用于加工拖拉机主传动箱的组合镂床上的，进给运动由机床左侧动力头推动。当左侧动力头进给时，固定在左动力头主轴箱上的挡块推动拉杆3，使装在夹具锌模架1上的齿条杆2移动，经过齿轮5带动铣有齿条的镂杆的滑动套6进给。
问题:镂杆的旋转运动是如何传递到锐杆上的？,答案:由电机11经过一系列齿轮带动花键套9，使花键轴8转动，再通过联轴节7将运动传到锐杆上。
问题:为什么在镂杆和齿条传动时需要消除间隙？,答案:#NAME?
问题:如何消除镂杆和齿条传动时的间隙？,答案:#NAME?
问题:在什么情况下需要考虑采用强制退回？,答案:当镂杆和齿条杆较粗，摩擦力较大时，或为防止切削挤压。
问题:对于径向分布的25个孔的辐射式主轴箱，如何提高加工效率？,答案:可以采用标准主轴箱配合使用，它的五根工作主轴中四根装在主轴筒9中，箱体连接。工作主轴的旋转运动是由标准主轴箱通过片向联轴节传递而得到；进给运动是由装在动力头上的齿条杆和箱体连接，当移近被加工零件时，箱体的下部碰到死挡铁4，箱体准确停止。这时标准主轴箱在动力头带动下继续工作进给，这时弹簧3开始压缩，齿条杆继续前进，传动齿轮7、6、有齿条的主轴套简9使四根工作主轴实现工作进给。
问题:如何实现反向进给钻孔主轴箱的工作？,答案:当动力头带齿条的滑仓1向下移动时，通过齿轮2和齿条杆3使主轴箱5沿导向中心1.4移动，从而实现反向钻孔。
问题:反向进给钻孔主轴箱可以设计成多轴的吗？,答案:可以，可以同时反向加工几个孔。
问题:图5-148所示的反向进给主轴箱有多少根主轴？,答案:#NAME?
问题:如何实现多轴反向加工？,答案:可以将多个反向进给主轴箱组合在一起，同时反向加工多个孔。
问题:什么是反向进给惚窝用的主轴箱？,答案:在钻亢孔后，需要反向惚窝时，采用反向进给惚窝用的主轴箱较为合适。主轴箱要装在动力头滑仑上，由动力头 K 轴 I 通过齿轮 2. 3 、生 5 带动主轴旋转轧。
问题:如何实现桥式主轴箱的移动？,答案:桥式主轴箱的支座 l 固定在动力头前端面上，支座上部的两个伸臂带有导杆 IO，支座下部带两个寺杆 11，减速箱就沿导杆 11 移动，主轴箱 9 沿导杆 10 移动。减速箱和主轴箱之间用套简 7 连接起来。
问题:如何固定套简的位置？,答案:套简的位置由夹雒 5 和螺钉 6 固定。
问题:在有些被加工零件上，需要加工的孔很多且排列较密时，如何进行加工？,答案:在有些被加工零件上，需要加工的孔很多且排列较密时，常常要分次加工，即加上一部分孔以后将工件转一个位置，再次进行加工。这时不需要所有的主轴都参加工作，往往有些主轴要暂时停止工作，为不使其碰伤工件，就要求其在其他主轴加工时它能缩回，缩到刀具每一火退离线以外。]
问题:什么是曲拐传动主轴箱，它通常用于什么情况？,答案:曲拐传动主轴箱，也称为无齿轮传动主轴箱，通常用于被加工零件的孔间距较小或轴比较多、较密、齿轮排列有困难的情况。
问题:图5-152所示的曲拐传动主轴箱是如何工作的？,答案:图5-152所示的曲拐传动主轴箱的顶端有一个主曲拐轴，当它旋转时，带动拐板作平面圆周运动。两个工作主轴的尾端也各有一个小曲拐插入拐板内。拐板从主曲拐轴所获得的运动又通过小曲拐传给工作主轴，使工作主轴旋转。主曲拐和工作主轴的小曲拐偏心距相等，主轴箱工作时速比为1。
问题:在设计曲拐传动主轴箱时，为什么要附加一根轴？,答案:在设计曲拐传动主轴箱时，应附加一根轴4，借以平衡拐板（拐板呈三角形）并起到支承的作用。
问题:在主轴箱中，主轴的伸缩是如何实现的？,答案:主轴的伸缩由每根主轴尾部所装的油缸来实现的。当不需要某根轴加工而要求其缩回时，油缸将主轴拉回来即可。当需要其参与加工时，则由油缸推向前方。这种油缸的动作（即主轴的伸缩）是由机床的液压系统按照机床要求的加工程序进行控制的。
问题:在结构上，油缸是否可以不放在主轴中部？,答案:有时因结构的需要，油缸也可以不放在主轴中部，而把主轴装在一个油缸套中，用压力油来驱动主轴的伸缩，如图5-153中带小拐轴4的主轴结构。
问题:主轴箱中设置的三种拐轴是什么？,答案:主轴箱上设置了三种拐轴，即1、4、5三种轴。
问题:号拐轴的特点是什么？,答案:号拐轴为固定式，每次进刀主轴都参加切削。
问题:号拐轴的特点是什么？,答案:号拐轴为伸缩式，需要钻孔时主轴伸出来，不钻孔时主轴不伸出来，轴的伸出和退回是通过油压来推动的。
问题:号拐轴的作用是什么？,答案:号拐轴为支承拐轴，是用来承受拐板重量和支承力的。
问题:拐板的数量如何确定？,答案:拐板的数量根据拐板大小、速度高低而定，一般大拐板采用三个支承拐轴，小的可不用。
问题:如何避免由于偏心力引起的振动？,答案:如果拐板大时，为了避免由于偏心力引起的振动，可以做成两块，两个主拐轴相位角为180°。
问题:拐板的材料应如何选择？,答案:拐板的材料在满足强度的情况下，尽量采用重量轻的材料。
问题:主轴箱采用何种传动方式？,答案:主轴箱采用曲拐传动。
问题:如何克服主轴箱的振动？,答案:设计时应尽量克服偏心力，增加主轴箱的刚性。
问题:拐轴轴套应选用什么材料？,答案:拐轴轴套应选用耐磨的材料，并要有一定的弹性。
问题:什么是曲拐传动，它有什么优势？,答案:曲拐传动是一种结构简单、减少了大量齿轮的传动方式，它能够实现更小孔间距离的孔的加工。
问题:在组合机床上，为什么需要设计附加机构？,答案:在组合机床上，为了实现某些特定的要求，如主轴定位、加速或减速、分组传动、行程控制、刹车、让刀、调刀、锁紧、调位、冲扭保护以及皮带传动的张紧和卸载等，就需要设计能满足上述要求的附加机构。
问题:主轴定位器的主要功能是什么？,答案:主轴定位器主要是供钻削主轴定位用的。它能使钻削主轴上的钻刀在每次加工结束后都处于规定的方位上，然后再向被加工孔引进或退出。
问题:当遇到哪些情况时，主轴需要定位？,答案:当使用一根钻杆上排在同－方向的多把钻刀，同时加工多层直径相同的同轴线孔时；当要求加工的孔径大于导套直径，而钻头又必须通过导套上的刀槽进出时；当刀具（如车端面刀头）不定位有碍于装卸工件时，主轴便需定位。
问题:什么是 t 轴的定位方式，分为哪两种？,答案:t 轴的定位方式分为自动和手动两种。
问题:手动定位适用于什么情况？,答案:手动定位适用于机床操作比较简单、生产批量不大和自动化要求不高的情况。
问题:什么是机械减速定位，它有哪些机构？,答案:机械减速定位是指主轴用机械实现减速和定位的方法。实现机械减速定位的机构很多，结构各不相同，但都是由减速和定位两部分组成的。
问题:如何实现卧式主轴箱的主轴定位？,答案:卧式主轴箱的主轴定位可以采用 T751l 与 T7511-F21 合装在一起的卧式 4 轴机械减速定位主轴箱，或者采用 T751l 与 T7511-F21 合装在一起时的外观图。T7511-F21 定位钩还可以与卧式 K 轴定位减速机构配合使用。
问题:卧式11轴机械减速定位主轴箱是如何配合使用的？,答案:卧式11轴机械减速定位主轴箱与T75llF21配合使用，可用作汇式主轴箱的主轴定位。
问题:立式6轴机械减速定位主轴箱是如何配合使用的？,答案:立式6轴机械减速定位主轴箱与图5-160所示的立式主轴定位减速机构配合使用，但需要分开安装在T轴箱上。
问题:如何设计主轴箱的传动系统以提高定位精度？,答案:在设计主轴箱的传动系统时，应使定位钩尽可能地靠近被定位的主轴，以减少齿轮传动间隙累积误差对定位的影响，从而提高定位精度。
问题:通用的T75ll与T7511-F21的工作原理是什么？,答案:通用的T75ll与T7511-F21的工作原理是：机床原位时，镂削主轴处于定位状态，此时限位开关10和12被松开。机床开始工作循环后，当发出“向前”信号时，主轴便在定位状态下快速向被加工零件引进。快速引进结束，被加工零件在夹具作用下移到加工位置上，通过电气信号，电磁铁11接电。电磁铁11的衔铁将定位钩8拉离定位盘9'，同时把开关10和12压下，从而镂削主轴自解除定位，主电机可以接电旋转。主电机起动旋转后，主轴定位减速机构中的定位盘9、齿轮I、3、15和轴4也被带动回转，开始对被加工零件进行切削加工。]
问题:什么是电气控制系统在加工终点的作用？,答案:电气控制系统在加工终点切断主电机，经过制动或延时后，电磁铁断电，开关被松开。
问题:定位钩在什么条件下会抵到定位盘上？,答案:当主电机被切断，经过制动或延时后，定位钩在弹簧作用下其钩端抵到定位盘上。
问题:如果没有落入定位盘的槽内，会发生什么情况？,答案:如果定位钩的钩端未落入定位盘的槽内，则开关仍处千被压下状态。在此情况下，通过继电作用，定位电机和电磁离合器接电。
问题:定位电机如何驱动主轴回转？,"答案:在定位电机的驱动下，通过蜗杆、蜗轮、套筒、电磁离合器轴、齿轮和15,使镜削主轴作慢速反向回转。"
问题:主轴转到要求的定位位置时，会发生什么情况？,答案:直转到定位钩的钩端落入槽内，即主轴转到要求的定位位置时，开关被松开。定位电机和电磁离合器便断电，至此镂削主轴的定位过程结束。
问题:什么是电气减速定位？,答案:电气减速定位是指主轴用电气实现减速和定位的方法。
问题:电气定位由哪个元件完成？,答案:电气定位由电气定位器来完成。
问题:电气定位器由哪些元件组成？,答案:电气定位器主要由1、2、3三块回转定位挡铁、三触头组合开关4及其拉动电磁铁5和主轴松位开关6等元件组成。
问题:在机床原位时，镂削主轴处于什么状态？,答案:在机床原位时，镂削主轴处于定位状态。
问题:发出“向前”信号后，主轴如何动作？,答案:发出“向前”信号后，主轴便在定位状态下快速向被加工零件引进。
问题:什么是电气减速磁感应定位？,答案:电气减速磁感应定位是指主轴由电气实现减速、由磁感应完成定位的一种方法。
问题:主轴定位在汽车传动叉耳环加工自动线上的效果如何？,答案:实践证明，主轴定位在汽车传动叉耳环加工自动线上的效果良好，定位时间平均约3秒左右。
问题:气缸体镗孔6轴精镗床采用的主轴定位的目的是什么？,答案:气缸体镗孔6轴精镗床采用的主轴定位的目的是保证精镗好的缸孔表面上不留有退刀痕。
问题:当按“向前”按钮时，液压滑台会如何动作？,答案:按“向前”按钮时，液压滑台会带动6个处于定位状态的主轴向被加工零件快速移近并转为工作进给。
问题:在定位过程中，为什么电机2需要继续通以直流电？,答案:为了限制电机1的转矩和进行低迷定位，以提高定位精度。
问题:定位器体3内部的定位盘4是由什么材料制成的？,答案:定位器体3内部的定位盘4是由铝制材料制成的，上面嵌有较长的钢块。
问题:定位圆盘的铝质部分在线圈7的作用下会产生什么效应？,答案:定位圆盘的铝质部分在线圈7的作用下会产生互感效应。
问题:当定位盘上的钢质小块转到铁心两极之间时，线圈7的什么会发生变化？,答案:当定位盘上的钢质小块转到铁心两极之间时，线圈7的感应电阻和互感会大大超过定位圆盘的铝质部分。
问题:主轴点动定位销定位是什么定位方法？,答案:主轴点动定位销定位是一种定位方法，通过主轴点动和定位销配合实现定位。
问题:什么是定位电机，它在主轴箱中的作用是什么？,答案:定位电机是一种电机，用于在主轴箱中实现定位。它通过弹性联轴器上的皮带被带动反转，当到达终点时，主电机被切断，定位电机接电慢转，开始进行定位。
问题:为什么不应直接用K电机通入交流和直流电实现减速？,答案:采用定位钩定位时，不应直接用K电机通入交流和直流电实现减速。这是因为定位盘的转速通常较低，所以定位时间比电气减速定位的时间要长得多。主电机在减速运行时的发热很严重，特别是功率较大的主电机，其发热更严重，会影响自动线的生产率和电机的工作寿命。
问题:电气定位器在什么情况下可以用于主电机减速？,答案:当使用电气定位器时，可以直接用主电机通入交流和直流电实现减速。
问题:什么是主轴点动定位销定位？,答案:主轴点动定位销定位，简称主轴点动定位，适用于主轴定位精度和生产率要求不高的机床主轴的定位。
问题:图5-170展示了什么？,答案:图5-170展示了采用主轴点动定位销定位的镜孔车端面动力头。
问题:图5-171展示了什么？,答案:图5-171展示了主轴点动定位销定位的定位销部分。
问题:主轴点动定位的工作原理是什么？,答案:主轴点动定位的工作原理是通过电气系统使电磁铁通电，拉离定位销，松开开关起动主电机旋转。加工到终点后，电磁铁断电，定位销在弹簧的作用下顶到定位盘的外圆面上。若定位销进入定位盘的槽口，则开关被压下，定位过程结束。
问题:在主轴点动定位中，如何控制起动转矩？,答案:在主轴点动定位中，可根据具体情况在电气控制系统里增加控制起动转矩的电阻，以控制定位主轴每点动一次的转角。
问题:液压（或气动）定位器的结构是什么样的？,"答案:液压（或气动）定位器结构如图 5一 172 所示。在油缸（或气缸） 12 的活塞 11 里装有套 6,套 6 由销 IO 固定 C 套 6 中压有堵 14 ，在 14 中装有能绕轴 13 转动的拨块兀销子 5 是防止活塞 I I 转动的。板 16 固定在销子 5 的槽中，它能带动应答片 15 和 17 轴向移动。当应答片进入无触点开关 18 和 19 的槽口内肘，可发出相应的信号。转轴 2 用滑动轴承 4 和浪珠轴承支承装在套 3 上，套 3 固定在体 l 上。定位时产生的轴向力由止推轴承承受。其上的齿轮与主轴箱内的传动齿轮相咄合 e 转轴 2 的右端是 V 形螺旋凸轮，其螺旋面 C 或 D 在定位过程中与拨块 7 相接触。为了消除拨块 7 与凸轮接触的死点（两者的峰顶正相遇或离开·个很小的角度，即为死点），拨块 7 作成可摆动的，共摆动中心对通过凸轮与拨块峰顶接触点的中心线偏离一个距离。拨块 7 可借助弹簧 8 和柱销 9 回复到原位。装配时，须保证活塞位千左侧时，主轴箱中被定位的主轴应恰处于定位位置上。主轴开始转动之前，油（或气）进入 E 腔，于是活塞 11 使拨块 7 与转轴 2 脱开，同时应答片 15 进入无触点开关 19 的槽口中，后打发出接通电机起动信号，主轴开始旋转。"
问题:什么是手动主轴定位器，如何使用？,答案:手动主轴定位器是一种用于主轴手动定位的部件，可以采用图5-173所示的手动主轴定位器或图5-171所示的定位销。定位采用手轮，对手轮的要求是在K轴工作回转时，手轮不转。
问题:图5-174和图5-175中的主轴箱有什么不同？,答案:图5-174和图5-175中的主轴箱都采用了图5-173所示的手动主轴定位器，不同的是手轮部分。图5-174中的手轮传动环节里设有超越离合器，图5-175中设有子轮轴向推出弹簧。
问题:如何在机床停车时进行定位？,答案:机床停车时，转轴2自由停止，开始定位。油（或气）进入F腔，活塞11带动拨块7向左移动，7触到螺旋面C或D上，驱使转轴2回转到规定的定位位置上，同时应答片17也进入无触点开关18的槽口中，后者发出定位完成信号，至此定位过程结束。
问题:什么是螺杆 2 的作用？,答案:螺杆 2 将开关 3 压下，触点挽接，发出主轴松位信号。
问题:主电机在加工过程中起到什么作用？,答案:主电机接电旋转，开始加工到终点，主电机被切断，自然停转。
问题:如何进行对刀操作？,答案:先释放定位销，使销端抵在上位盘外圆面上。然后回转手轮，直至定位销进入定位盘槽口为止，此时开关 3 的常闭触点又闭合，定位过程结束。
问题:手动定位器和手轮应如何安装？,答案:手动定位器和手轮要安在便于操作的地方，手轮的直径不宜太小。
问题:主轴箱内定位的主轴的转数要求是什么？,答案:必须与定位转轴（对机械定位器和磁液应定位器是其转数的整倍数）。
问题:定位主轴之间的转速比可以是怎样的？,答案:可以是相等或为整倍数关系；或者虽不成整倍数关系，但各定位主轴的转数能分别与定位转轴的转数构成整倍数关系时亦可。
问题:转数和转速比之间的区别是什么？,答案:转速总指轴在单位时间的转数，通常用每分钟转数表示。转速比是指主轴转速与定位转轴之间的转速比。
问题:为什么采用电气定位器、磁感应定位器和液压（或气动）定位器时，只能在加工终点时刀具与被加工表面离开状态下进行定位？,答案:因为这些定位器属于双向回转定位器，当刀具与被加工表面接触时，它们通常无法驱动主轴反转进行定位。
问题:在配备主轴箱的传动齿轮时，需要注意什么？,答案:如果主轴定位减速机构的外伸齿轮有转向规定，则在配备主轴箱的传动齿轮时，必须满足其要求。
问题:当卧式定位主轴箱的上盖结合凸台尺寸与减速机构壳体的结合面尺寸不一致时，应如何处理？,答案:可以将主轴箱上盖结合凸台修改成与减速机构壳体的结合面尺寸一致，或者加一个适当厚度的过渡垫板。
问题:在定位主轴箱总图上，需要注明哪些信息？,答案:在定位主轴箱总图上，要注明定位状态下所有需定位的主轴孔键槽的方位。
问题:当主轴定位精度要求较高时，应如何减少齿轮传动间隙累积误差对定位精度的影响？,答案:为了减少齿轮传动间隙累积误差对定位精度的影响，应尽可能缩短需定位的主轴与定位转轴间的传动链。
问题:在什么情况下，定位主轴箱一般不宜采用？,答案:实践表明，当主轴定位精度要求较高时，定位主轴箱一般不宜采用。
问题:如何解决采用液压自驱式动力头驱动定位主轴箱，且主轴需要在定位状态下移动的？,答案:如果主轴需要在定位状态下移动，液压自驱式动力头需要装有油泵单独驱动装置。
问题:什么是主轴加（减）速进给机构？,答案:主轴加（减）速进给机构可供单个主轴或多个K轴使用，目前尚未通用，但以图5-176中的主轴加速进给机构为例，说明其结构和工作原理。
问题:主轴加速进给机构的工作原理是什么？,答案:当仰杆6碰到刀具后，它便不再随主轴箱一起向前移动，通过连杆尾端的齿条、齿轮（或齿轮组）和滑套2，使加速之主轴7产生一个附加的进给运动，即加速进给运动。因此，这时主轴的实际进给速度便是主轴箱进给速度与附加进给速度之和。
问题:主轴箱进给速度的定义是什么？,答案:主轴箱进给速度是驱动主轴箱的动力部件的进给速度，以毫米/分为单位。
问题:主轴加速进给机构中的弹簧5起到什么作用？,答案:主轴箱在动力部件驱动下，进给到终点开始退回时，由于弹簧5的作用，机构中各运动部件返回原位状态。
问题:主轴加速行程距离如何调整？,答案:主轴加速行程距离可通过装配保证，也可通过撞杆前端的螺钉进行调整。
问题:主轴加速进给机构可以用于哪些工序？,答案:图5-177和图5-178显示了装有主轴加速进给机构的主轴箱，被加速的两根主轴用于铰孔，其余主轴分别用于钻、扩、铰等工序。图5-179也是装有主轴加速进给机构的主轴箱，被加速进给的4根主轴用于扩铰复合工位，其余主轴分别用于铰孔和小孔径的铰削。
问题: 主电机起动后，带动哪个部件回转？,答案:主电机起动后，经过轴 6 带动主轴 l 回转。
问题:当主轴箱向前进给时，主轴 l 以什么方式进行进给？,答案:当主轴箱向前进给时，4 根主轴 l 也以同一速度向前进给。
问题:扩孔时的轴向进给抗力通过哪些部件作用到端盖 2 上？,答案:扩孔时的轴向进给抗力通过滑套 7、齿轮 8 和撞杆 4，作用到端盖 2 上。
问题:主轴箱向前进给螺钉碰到什么部件时，是扩孔进给的结束，饺孔进给的开始？,答案:主轴箱向前进给螺钉碰到夹具上时，是扩孔进给的结束，饺孔进给的开始。
问题:主轴箱退回原位的过程中，哪个部件将主轴 I 弹回原位？,答案:主轴箱退回原位的过程中，弹簧 5 将撞杆 4（也即将主轴 I）弹回原位。
问题:本主轴箱的每分钟进给量 S 主是多少？,答案:本主轴箱的每分钟进给量 S 主＝45 毫米／分。
问题:主轴加速进给时，撞杆与主轴各在一侧，减速时，撞杆与主轴在哪一侧？,答案:减速时，撞杆与主轴则在同侧。
问题:主轴减速进给时的实际进给速度怎么计算？,答案:主轴减速进给时的实际进给速度，为主轴箱进给速度与附加进给速度之差。
问题:主轴减速进给时，要求撞杆上的弹簧的初始压力要大于多少？,答案:主轴减速进给时，要求撞杆上的弹簧的初始压力要大于所有减速主轴轴向进给抗力之和。
问题:图 5-181 是什么？,答案:图 5-181 是一个带有减速进给机构的主轴箱。]
问题:主轴加长行程机构的用途是什么？,答案:主轴加长行程机构用于解决动力头滑套行程不足的，增加加工行程。
问题:主轴加长行程机构有哪两种类型？,答案:主轴加长行程机构有供单轴用的和供多轴用的两种类型。
问题:图5-182中的主轴加长行程机构由哪些部件组成？,答案:图5-182中的主轴加长行程机构由箱体3、动力头滑套2、工作主轴5、动力头主轴1、齿条杆7、齿轮、弹簧6和销子8组成。
问题:工作主轴5的行程是如何增加的？,答案:工作主轴5的行程通过齿条杆7固定不动，齿轮和齿条使装有主轴5的套筒4产生一个附加进给，从而比动力头滑套2的行程加长了一倍。
问题:当动力头进给凸轮的曲线为封闭式时，主轴加长行程机构如何退回原位？,答案:当动力头进给凸轮的曲线为封闭式时，主轴加长行程机构可以不要弹簧6，而是靠凸轮封闭曲线自身的作用使整个加长行程机构退回原位。]
问题:当滑套2在动力头进给凸轮的作用下向前移动时，会发生什么？,答案:支架4在滑套2向前移动时会发生什么移动？
问题:什么是主轴分组传动结构？它的作用是什么？,答案:主轴分组传动结构是指将多轴传动系统中的主轴分为两组，通过电磁铁控制一组主轴的离合器接合或断开，从而实现两组主轴的顺序或同时工作。作用是可以实现多轴同时加工或顺序加工，提高生产效率和加工精度。
问题:图中的主轴箱上主轴分组传动结构是如何工作的？,答案:在图中的主轴箱上，主轴1-8为一组，主轴9-16为一组。当电磁铁17和18均断电时，牙嵌离合器21在弹簧20的作用下接合，动力头将驱动两组主轴同时回转。当电磁铁17接电而电磁铁18断电时，通过杠杆19把牙嵌离合器21拨开，从而主轴1-8被从传动链中切除而停转，主轴9-16则继续回转；当电磁铁18接电而电磁铁17断电时，则主轴9-16停转，主轴1-8回转。两个电磁铁依次通、断电，两组主轴也就依次工作或停止。
问题:在生产实践中，为什么需要主轴分组传动结构？,答案:在生产实践中，对于一些结构复杂、加工工序很多的工件，如气缸体、气缸盖、后桥变速箱等箱体件，在一台机床上实现全部工序加工是不可能的。而常常是将加工工序合理组织，分在几台机床上组成流水线加工。主轴分组传动结构可以实现多轴同时加工或顺序加工，提高生产效率和加工精度。
问题:什么是组合机床自动线，它在什么情况下被使用？,答案:组合机床自动线是在生产率很高时，为了减少工人数目、改善工人的劳动条件、提高劳动生产率，使流水线上各组合机床间的工件运送、变位和在夹具中的定位、夹压都自动化，并用液压和电气系统将各机床及辅助设备的动作联系起来，按规定的程序自动地进行工作的流水线。组合机床自动线较多地用于加工汽车、拖拉机的气缸体、气缸盖、变速箱、传动箱、后桥、油泵体、离合器体、飞轮壳、进排气管、滤清器体等箱体件。
问题:随行夹具自动线是什么，它用于加工什么类型的工件？,答案:随行夹具自动线是一种自动线，采用随行夹具将工件装在上面进行运输，以避免工件因为没有稳定的定位和输送基面或材质太软而划伤基面。随行夹具自动线用于加工电机座、阀体、阀盖、曲轴、半轴、半轴套管、差速器总成、转向节、连杆、叉子以及一些支架等工件。
问题:组合机床自动线可以完成哪些工艺，它的发展趋势是什么？,答案:组合机床自动线常用千完成铣平面、钻孔、扩孔、绞孔、镂孔、车端面、加工内外螺纹以及车短外圆等工艺。但随着组合机床自动线技术的不断发展，其完成的工艺范围也在日益扩大。过去在组合机床自动线上只是完成一个工件部分工序的加工，而且自动线的规模也较小。
问题:什么是组合机床自动线，它由哪些设备组成？,答案:组合机床自动线是由通用化程度高的组合机床，加上通用的工件输送、变位和排屑等辅助设备所组成，用于完成工件的全部工序加工。
问题:组合机床自动线的优点是什么，它适用于哪些生产批量？,答案:组合机床自动线具有设计制造简单、使用可靠、生产效率高和可变性好的优点，适用于大批量生产，也日益朝着加工多品种方向发展，以适应中小批量生产的需求。
问题:设计组合机床自动线时需要考虑哪些因素？,答案:设计组合机床自动线时，需要深入了解被加工零件的工艺和精度要求，正确选择定位和输送基准，并确定在自动线上完成的工艺及加工顺序。确定各工位（机床）完成的工序是自动线方案设计的重要阶段，必须按适当集中合理分散的原则进行。
问题:什么是组合机床自动线？,答案:组合机床自动线是一种采用多台组合机床，通过自动化装置将工件在各机床之间顺序输送并进行加工的生产线。
问题:组合机床自动线的配置型式受哪些因素影响？,答案:组合机床自动线的配置型式受被加工零件的尺寸和结构、生产率、车间面积、机床间最小距离、保证安全和操作方便以及间隔工件及铁屑运输流向等因素的影响。另一方面，也与自动线制造单位的设备能力、通用部件的品种和规格以及刀具制造能力等有关。
问题:组合机床自动线有哪些输送方式？,答案:组合机床自动线按被加工零件的输送方式，分为直接输送、间接输送和悬挂式输送三类。
问题:直接输送的组合机床自动线适用于加工什么样的工件？,答案:直接输送的组合机床自动线适用于加工具有良好的定位和输送基面的箱体件。
问题:直接输送的组合机床自动线有哪些类型？,答案:按工件输送的特点，直接输送的组合机床自动线可分为通过式、非通过式和带抬起的互带型式的三种。
问题:什么是通过式组合机床自动线？,答案:通过式组合机床自动线的工件输送带贯穿全线的机床，将上件从自动线的始端，依次运到各机床夹具上，进行不同工序的加工，加工完的工件从自动线的末端送出。这种自动线是最简单的单工段自动线，常用于加工汽车气缸体两端面孔。
问题:什么是多工段的自动线？,答案:当工件有更多面上的工序要加工时，则可采用自动转位机构，将前一段加工完的工件进行变位后再送进其他工段继续加工，也就是采用多工段的自动线。
问题:什么是用千加图 6-4 所示的气，旺盖的？,答案:图 6-4 所示的气，旺盖的是一种自动线，用于完成缸径为 ￠200 毫米的单缸气缸盖除平面外的全部扎加工。
问题:这条自动线分几个工段，由多少台机床和多少个转位装置组成？,答案:该自动线分为三个工段，由七台机床和两个转位装置组成，共有十个工位，包括一个上料工位和一个卸料工位，八个加工工位。
问题:七台机床中五台为什么类型的机床，两台为什么类型的机床？,答案:七台机床中五台为从面机床，两台为立卧复合向一面机床。
问题:这条自动线的全长约为多少米？,答案:该自动线的全长约为 14.4 米。
问题:当工件的加工工序很多，采用直线式自动线很长，在车间布置有困难时，可采用什么方案？,答案:当工件的加工工序很多，采用直线式自动线很长，在车间布置有困难时，可采用折线布置的方案。
问题:图 6-5 所示为一条什么样的自动线，用于加工什么？,答案:图 6-5 所示为一条门形布置的组合机床自动线，用于加工气缸盖。
问题:该自动线分为几个工段，由多少台机床组成？,答案:该自动线分为三个工段，由 16 台机床组成。
问题:自动线转弯处一般应选在哪里，为什么？,答案:自动线转弯处一般应选在两段交界处，这样安排能利用转弯布置实现工件的自然变位，不需增加转位机。
问题:图6-6所示的自动线平面布置是什么样的？,答案:图6-6所示为带有中间贮料库的自动线平面布置。
问题:这条自动线用于加工哪个部件？,答案:这条自动线用于加工汽车V形气缸体。
问题:这条自动线有多少台机床？,答案:这条自动线共有85台机床。
问题:前三个工区的工件加工是如何安排的？,答案:前三个工区都有两条平行支线，因为按大部分工序的延续时间和规定的生产率，不可能在单线上完成必要的加工。
问题:第四个工区的工件加工是如何安排的？,答案:第四个工区的一段为单支线，另一段为平行双支线，这也是因为所完成工序的延续时间相差悬殊而采取的措施。
问题:V形气缸体在自动线上的加工顺序是怎样的？,答案:V形气缸体经过前一条自动线完成顶底面、两个斜面和定位孔的加工后，送到这条自动线的始端，并由机械化装料机构装到两条支线上。第一工区第一段的2台机床(C1、C2)上粗、精铣轴瓦的开档面；第二段的4台机床(C3、C4、C5、C6)上铣削油泵及配电盘的安装面，粗和半精镂缸孔；第三段的4台机床(C7、C8、C9、C10)上加工气缸体两端面上的孔，这里每台机床都有两个加工部位。工件由横向输送带送到第四工区后，在第一段的7台机床(C11~C17)上，完成气缸体顶面、底面和油泵、配电盘安装面上孔的加工；第二工段的3台机床(C18、C19、C20)上继续完成底面和两个安装面上孔的加工。
