例子,故障现象,分析过程,,,,,,,
"例15.整流桥不良引起的故障维修

","故障现象：某配套FANUCOM的数控铣床，在加工过程中，车间突然断电，烧电后开机，系统电源无法正常接通。
","分析及处理过程分析过程同前例，经检查，图4–5中的熔断器F11、F12己爆数膻测量，R、S间无短路，证明浪涌电压吸收器VS11以及辅助电源控制模块M11无故意障。拔下了电源模块的插头CP2测量，在本例中短路现象未消失，则确认AC用摄到回
四在电源单元内部。
进一步检查发现，二极管整流桥DS11短路，由于当时无FANUC备件DS11，为了保证机床的正常生产，维修时直接利用了同规格的二极管整流桥进行取代，经过重新安装，并更换F11、F12后，机床故障排除。",,,,,,,
"例16.控制模块M11不良引起的故障维修
","故障现象：某配套FANUCOMC的数控铣床，在加工过程中突然断电，重新开机，系统电源无法正常接通。
","分析及处理过程分析过程同前，经检查，图4–5中的熔断器F11、F12已熔断；换上俯断器F11、F12，再次测量电源进线R、S，发现线路中存在短路；但浪涌电压吸收器VS11正常。
测量开关电源次级回路无故障，显然，短路原因在内部输入单元的集成开关电源控制模块M11上。直接更换FANUC备件后，机床故障排除。",,,,,,,
"例17.外部报警引起的故障维修
","故障现象：某配套FANUCOT的数控车床，正常关机后，开机出现系统电源无法起动的故障。
","分析及处理过程经检查，该机床电源单元的发光二极管PIL与ALM灯同时亮。由原理图4–6可知，PIL指示灯亮，证明内部输入单元的辅助DC24V正常，引起故障的原因是来自系统内部的24V/±15V/5V电源模块报警或外部报警信号E.ALM接通，使继电器RY1吸合，引起RY2~4的互锁而无法吸合。
进一步检查发现，故障原因来自外部报警信号E.ALM接通。根据机床电气原理图，逐一检查外部报警信号E.ALM的接通条件，最终确认故障是由于液压电动机过载引起的，排除液压电动机故障后，机床恢复正常。",,,,,,,
"例18.熔断器不良引起的故障维修
","故障现象：某配套FANUCOT的数控车床（工手设备），初次开机时，系统电源无法正常接通。
","分析及处理过程经检查，该机床电源单元的发光二极管PIL不亮，电源单元的熔断器F1己熔断。

由于机床为二手设备，故又对照原理图4–5，逐一测量电源模块内部线路与各相关元器件C2、D1、Q1等，在确认无误后，通电测量输入单元的辅助控制电源A24端子上的DC24V正常，F1的输出端与AO间无短路，初步判定电源单元无故障。
更换FANUC备件F1后，故障排除，电源正常接通。例19.ON/OFF信号不良引起的故障维修
","故障现象；某配套FANUCOT的数控车床（二手设备），初次开机时，系统电源无法正常接通。
","分析及处理过程经检查发现输入单元的发光二极管PIL灯亮，表明电源模块输人正常。但按下系统电源起动按钮，伺服主回路接触器未能够正常接通。
对照原理图4–6，测量发现图中MDI/CRT单元CP3上的COM–OFF间开路，根据机床的实际连接，逐一检查线路，最终找出原因是电源切断OFF按钮触点断开。进一步检查发现系统的OFF按钮连接脱落，重新接线后，机床恢复正常。",,,,,
"例20.外部互锁引起的故障维修
","故障现象：某配套FANUCOT–Mate–E的数控车床，开机时，系统电源无法正常接
通。
","分析及处理过程经检查发现输入单元的发光二极管PIL灯亮，但按下系统电源起
动按钮，伺服主回路未接通。测量发现图中MDI/CRT单元上的电源切断OFF与COM间断开，但操作面板上的CNCOFF按钮动作正常。
由于维修现场无机床电气原理图，只能根据实际机床接线检查。检查发现，该机床电源单元的COM（CP3–3）与OFF（CP3–2）间通过了辅助线路进行连接，COM与EOF间串联了面板上的CNCOFF按钮常闭触点、电柜门开关触点、主轴传动系统防护门开关等多个接通条件。
逐一检查以上条件，在确认全部条件都满足，COM与EOF间触点闭合后，重新起动，机床恢复正常。
维修体会与维修要点：
1）FANUC电源单元AI由于体积小、可靠性高，在0系列系统中使用较广。在该单元的电源不能接通的故障维修中，通过测绘内部输入单元的电气原理图，再对照原理图进行维修是最有效、最可靠的方法。
2）由于电源单元AI体积小、控制电压种类较多，在进行测量维修处理，特别是更换元器件时，必须十分谨慎；以防止损坏其他控制元器件。
3）除以上实例中的常见","故障现象外，电源单元AI可能发生的故障还有以下几种可能的原因与现象：

€F11、F12熔断，其原因有：
a）系统开关电源主回路的开关管D14、D15损坏；
b）系统开关电源主回路的开关管续流M极管D33、D34损坏；
c）整流回路的滤波电容器O、C13损坏；
d）电源模块内部直流主回路的短路；–e）辅助控制电源一次侧短路，等等。
""F1熔断的其他原因：
a）系统输入单元辅助电源回路的稳压、滤波器件Q3、ZD2、C4损坏；
b）浪涌电压吸收器VS1损坏；
C）控制信号ON/OFF、外部报警信号、AC电源等接线的错误；
d）电源模块内部15V电源短路；
e）电源模块内部15V电源滤波电容C4损坏，等等。
以上敌障在实际系统中发生次数较少，有关维修的内容可参见本章后述。
3.YASKA;J50系统电源不能接通故障维修5例例21.中间继电器不良引起的故障维修
|故障现象：某配套YASKA;J50L的数控车床，开机时系统显示器亮，但伺服驱动主电源无法正常接通。
|分析及处理过程YASKA;J50ML系列数控系统，是日本安川公司20世纪90年代中期在该公司MX3系统基础上开发的小型化、精简型控制系统，其最大控制轴数为4轴，可采用CRT或液晶显示器。系统硬件采用了大规模集成电路、16位CPU。CNC与PLC集成一体化；软件功能与FANUC0系统相近。由于系统体积小（仅为MX3的1/3），可靠性高，通过与该公司生产的z系列交流伺服驱动配套使用，可以获得较高的性能价格比，在中小型、普及型数控机床上，有一定数量的应用，J50系列产品中的J50M用于数控镗、铣、磨床或加工中心，J50L用于数控车床。
该产品在国内由大连大森公司引进生产，产品型号为R2J50，近年来在国内市场上取得了较大的份额，产品在普及型机床上应用较广。
本机床中的|故障现象为电源无法正常接通，因此，其故障维修应从系统的电源输入回路进行分析、处理。
YASKA;J50M/L数控系统的电源单元功能与FANUCAI电源单元类似，采用了输入单元与电源模块一体化结构形式。系统电源接通可以通过系统操作面板的电源ON/OFF开关或外部系统ON/OFF开关进行控制。
J50M/L系统与电源接通/断开有关的信号以及系统生产厂家推荐的ON/OFF控制线路图如图4–7所示。




图4–7J50系统ON/OFF控制线路图图中各元器件的含义如下：
PON：系统MDI/CRT操作面板上的CNCON按钮（系统内部ON信号）；POFF：系统MDI/CRT操作面板上的CNCOFF按钮（系统内部OFF信号）；TON：来自机床侧的CNCON按钮（外部ON信号）；
TOFF：来自机床侧的CNCOFF按钮（外部OFF信号）；
NCMX：系统电源单元的内部各电源工作正常时的输出信号；SVMX：系统电源单元的内部工作正常，伺服允许接通的输出信号：
*TESP：来自机床侧的CNC急停输入信号；
*TOLD：来自机床侧的外部过载输入信号。
电源单元AC200V加入后，系统电源接通控制的步骤如下：
1）按下操作面板的内部CNCON按钮，起动系统，CRT显示报警ALM310，表明系统电源己经接通。
2）系统电源单元的输出信号NCMX接通；NCMX触点一般用于接通伺服驱动器的控制回路电源（图中未画出）。
3）再次按下操作面板的内部CNCON按钮，系统电源单元的输出信号SVMX接通。
4）通过SVMX触点接通伺服驱动器的主回路（图中未画出），此时，若CNC与伺服驱动器无故障，系统的起动过程结束。
电源的断开过程如下：
1）按下操作面板的内部CNCOFF按钮，输出信号NCMX、SVMX均断开。
2）若来自机床侧的CNC急停输入信号*TESP断开，则输出信号SVMX断开，切断伺

服主回路电源。
当系统采用外部电源ON/OFF控制时，其电源接通控制的步骤同上。内部/外部电源通断控制的选择通过系统主板PC50上的S+2、S+3选择开关进行，通过S+2、S+3的设置可以选择使用内部电源ON/OFF控制、外部电源ON/OFF控制或同时使用内部/外部电源ON/OFF控制这三种不同的控制形式。
在本例的机床上，采用的是以上标准的电源ON/OFF控制线路。根据|故障现象分析，由于CNC己经正常接通，而伺服主回路未接通，因此故障原因应在系统电源单元的外部。进一步检查发现，该机床NCMX输出中间继电器脱落，重新安装后，故障排除，机床电源正常起动。","故障现象：某配套YASKA;J50L的数控车床，开机时系统显示器亮，但伺服驱动主电源无法正常接通。
","分析及处理过程YASKA;J50ML系列数控系统，是日本安川公司20世纪90年代中期在该公司MX3系统基础上开发的小型化、精简型控制系统，其最大控制轴数为4轴，可采用CRT或液晶显示器。系统硬件采用了大规模集成电路、16位CPU。CNC与PLC集成一体化；软件功能与FANUC0系统相近。由于系统体积小（仅为MX3的1/3），可靠性高，通过与该公司生产的z系列交流伺服驱动配套使用，可以获得较高的性能价格比，在中小型、普及型数控机床上，有一定数量的应用，J50系列产品中的J50M用于数控镗、铣、磨床或加工中心，J50L用于数控车床。
该产品在国内由大连大森公司引进生产，产品型号为R2J50，近年来在国内市场上取得了较大的份额，产品在普及型机床上应用较广。
本机床中的","故障现象为电源无法正常接通，因此，其故障维修应从系统的电源输入回路进行分析、处理。
YASKA;J50M/L数控系统的电源单元功能与FANUCAI电源单元类似，采用了输入单元与电源模块一体化结构形式。系统电源接通可以通过系统操作面板的电源ON/OFF开关或外部系统ON/OFF开关进行控制。
J50M/L系统与电源接通/断开有关的信号以及系统生产厂家推荐的ON/OFF控制线路图如图4–7所示。




图4–7J50系统ON/OFF控制线路图图中各元器件的含义如下：
PON：系统MDI/CRT操作面板上的CNCON按钮（系统内部ON信号）；POFF：系统MDI/CRT操作面板上的CNCOFF按钮（系统内部OFF信号）；TON：来自机床侧的CNCON按钮（外部ON信号）；
TOFF：来自机床侧的CNCOFF按钮（外部OFF信号）；
NCMX：系统电源单元的内部各电源工作正常时的输出信号；SVMX：系统电源单元的内部工作正常，伺服允许接通的输出信号：
*TESP：来自机床侧的CNC急停输入信号；
*TOLD：来自机床侧的外部过载输入信号。
电源单元AC200V加入后，系统电源接通控制的步骤如下：
1）按下操作面板的内部CNCON按钮，起动系统，CRT显示报警ALM310，表明系统电源己经接通。
2）系统电源单元的输出信号NCMX接通；NCMX触点一般用于接通伺服驱动器的控制回路电源（图中未画出）。
3）再次按下操作面板的内部CNCON按钮，系统电源单元的输出信号SVMX接通。
4）通过SVMX触点接通伺服驱动器的主回路（图中未画出），此时，若CNC与伺服驱动器无故障，系统的起动过程结束。
电源的断开过程如下：
1）按下操作面板的内部CNCOFF按钮，输出信号NCMX、SVMX均断开。
2）若来自机床侧的CNC急停输入信号*TESP断开，则输出信号SVMX断开，切断伺

服主回路电源。
当系统采用外部电源ON/OFF控制时，其电源接通控制的步骤同上。内部/外部电源通断控制的选择通过系统主板PC50上的S+2、S+3选择开关进行，通过S+2、S+3的设置可以选择使用内部电源ON/OFF控制、外部电源ON/OFF控制或同时使用内部/外部电源ON/OFF控制这三种不同的控制形式。
在本例的机床上，采用的是以上标准的电源ON/OFF控制线路。根据",故障现象分析，由于CNC己经正常接通，而伺服主回路未接通，因此故障原因应在系统电源单元的外部。进一步检查发现，该机床NCMX输出中间继电器脱落，重新安装后，故障排除，机床电源正常起动。,,
"例22.ON/OFF信号引起的故障维修
","故障现象：某配套YASKA+J50L的数控车床，开机时系统电源与伺服驱动电源均无法正常接通。
","分析及处理过程经检查该机床的系统电源单元AC200V输入电压正常，但按系统操作面板上的ON/OFF按钮，无法接通系统电源。
根据上例同样的分析，可以初步判定故障原因在系统内部的ON/OFF控制回路。进一步检查发现，该机床操作面板上的NCOFF按钮连接插头脱落，重新连接后，故障排除，系统电源正常起动。",,,,,,,
"例23.时间继电器损坏引起的故障维修
","故障现象：某配套YASKA+J50L的数控磨床，开机时系统电源接通，但伺服驱动主电源无法正常接通。
","分析及处理过程经检查，该机床的系统电源单元AC200V输入电压正常，但按系统操作面板上的ON/OFF按钮，无法接通系统电源。
对照机床电气原理图，发现该机床的电源ON/OFF线路设计较完善，经简化后的
CNC电源控制回路如图4–8、图4–9所示。图中各元器件的作用如下：
1）SQ1–1、SQ1–2为机床工作台超程限位开关。
2）QF1、QF2、QF3分别为机床的伺服上回路、液压电动机、主轴系统过载保护开关。
3）SA1为机床工作台超程限位取消开关。
4）KM4为伺服主回路接触器。

由图可见，该机床同时使用了内部/外部电源ON/OFF控制，而且通过时间继电器KT1的延时动作，自动实现了系统原来所需要的二次按CNCON的动作。根据原理图可知，其电源接通动作步骤如下：
1）在图4–8中，按下操作面板的内部CNCON按钮，系统电源单元的输出信号NC-MX使中间继电器KA10接通。
2）在图4–9中，KA10触点使时间继电器KT1接通，并进行延时。
3）KT1的延时时间到，延时触点接通，使得中间继电器KA1接通。
4）KA1常开触点又接通了图4–8中的电源单元的外部CNCON信号TON。

5）由于电源单元的外部CNCON被接通，相当于系统加入了第二次CNCON信号，从而使得系统电源单元的输出信号SVMX接通KA11。
6）KA11的常闭触点断开图4–9中的中间继电器KA1，电源单元的外部CNCON信号被TON断开，使图4–8中与TON连接的常开触点KA1实际上起到了按钮的作用。
7）在图4–9中，KA11的常开触点同时接通接触器KM4，伺服驱动器主回路接通。
8）接触器KM4的常闭触点断开时间继电器KT，完成电源加入动作。
9）在机床工作台超程时，在图4–9中，KA12失电，通过KA12的常开触点，使图4–
8中的急停输入信号*TESP、外部电源OFF信号TOFF同时断开，切断系统电源与伺服回路电源输入。
从以上分析可知，本机床在按下系统操作面板CNCON按钮后，系统电源正常加入，但伺服主回路未得电，因此故障原因在第二次加入CNCON信号回路上。为了验证，维修时在系统接通后，若再次按下系统操作面板CNCON按钮，伺服主回路被接通，由此确认，机床故障原因在第二次加入CNCON信号控制回路上。
进一步检查发现，该机床的时间继电器损坏，更换时间继电器后，机床恢复正常。例24.外部互锁引起的故障维修
","故障现象：机床同上例，该机床在自动加工过程中，突然出现系统断电，再次开机后，电源无法接通。
分析及处过程：根据","故障现象，测量机床电源模块的输入AC200V正常，但按下面板上的NC–ON按钮，图4–8中的KA10、KA11均不动作，由此可以判定故障可能的外部原因是电源单元的TOFF触点断开或*TESP信号断开；内部原因是电源模块不良。
检查机床的强电控制回路，发现开机后KA12未吸合，逐一测量图4–9中的与KA12线圈串联的触点，最终发现故障是由于液压泵过载（QF2跳闸）引起的。排除液压系统的故障，合上OF2后重新开机，机床恢复正常工作。",,,,,
"例25.超程引起的故障维修
","故障现象：机床同上例，该机床在X轴执行回参考点的过程中，突然出现系统断电，再次起动后系统电源无法正常接通。
","分析及处理过程故障分析过程同上，在本例中，经检查确认，电源无法接通的原因是由于工作台的“超程”引起的KA12断开。
合上图4–9中的“超程解除”开关SA1，机床恢复正常起动，退出“超程保护”后检查，发现故障原因是由于“参考点减速”挡铁安装存在松动，使参考点位置发生了偏移，导致了机床“超程”。重新固定挡铁后，机床恢复正常。
4.SIEMENS系统电源不能接通故障维修5例",,,,,,,
"例26.3M系统风机监控引起的故障维修
","故障现象：一台配套SIEMENS3M系统的进口卧式加工中心，开机时出现CNC电源无法接通的故障。
","分析及处理过程SIEMENS3M系统的外部电源控制要求十分简单，只要CNC的+24V电源输入正常，NC–ON触点短时间接通，在正常情况下即可以起动系统。
测量系统电源模块（6EV3054–3500）的外部电源输入端C1、D1间DC24V正常，但电源模块上的DCSV为0，表明故障是由电源模块引起的。
通过直接短接电源模块上的NC–ON触点（G、H脚）试验，发现系统电源仍然无法接通电源，由此确认故障与外部起动条件无关。
进一步测量检查，发现电源模块上的E、F脚开路，分析原因与内部风机监控有关，直接短接E、F脚试验，系统即可起动。更换风机后，机床恢复正常。",,,,,,,
"例27.8M系统PLC模块不良引起的故障维修
","故障现象：一台配套SIEMENS8M系统的进口卧式加工中心，开机时出现CNC电源无法接通的故障。
","分析及处理过程检查系统各组成模块的状态指示灯，发现PLC停止灯亮，表明
PLC未工作，PLC的全部输出为“0”；检查后确认，故障与外部起动条件无关。
取下PLC模块（6ES5925–3KA11）检查，发现该模块上的一片集成电路（74LS244）不良，更换后机床恢复正常。",,,,,,,
"例28.880M系统位拉模块不良引起的故障维修
","故障现象：一台配套SIEMENS880M系统的立式加工中心，开机时出现CNC电源无法接通的故障。
","分析及处理过程检查系统电源模块的5V指示灯不亮，测量系统电源模块的外部电源输入端DC24V正常；NC的全部起动条件均满足；风机监控正常；确认故障与外部起动条件无关。
电源模块故障与电源模块本身不良或CNC不良有关，为了确认故障部位，维修时将电源模块从系统中拔出后，再次进行进一步试验。试验表明，此时电源模块即可以正常起动，从而确认故障在CNC内部。
通过逐一取下CNC各组成模块，进行多次试验，最终确认故障是由于其中的一块位置测量模块不良引起的5V过载。对测量模块进行维修后，系统即可起动。",,,,,,,
"例29.810M系统ON信号不良引起的故障维修
","故障现象：一台配套SIEMENS810M系统的卧式加工中心，开机时出现CNC电源无法接通的故障。

","分析及处理过程SIEMENS8l0M系统的外部电源控制要求十分简单，只要CNC的+24V电源输入正常，只需短接CNC电源模块上的NC–ON端，即可以起动系统。
维修时通过短接CNC电源模块上的NC–ON端试验，发现系统可正常接通电源，由此确认故障是由于系统电源接通（NC–ON）回路故障引起的。
进一步检查发现，该机床数控系统的外部条件未满足，根据机床电气原理图，逐一检查，在满足系统起动条件后，重新起动CNC，系统正常起动。",,,,,,,
"例30.840C系统外部不良引起的故障维修
","故障现象：一台配套SIEMENS840C的进口立式加工中心，开机时出现系统电源无法接通的故障。
","分析及处理过程根据该机床的特点，在正常情况下，只要一合上主开关，CNC即可接通，检查机床电气原理图发现系统电源与机床主电源间只有断路器保护环节。
检查断路器未跳闸，但上、下端均无AC220V电源，进一步检查发现，该机床三相进线电源中1L3缺相，原因是车间配电柜内的熔断器熔断。在测量确认线路无故障后，换上熔断器，再次开机，机床恢复正常工作。
维修体会与维修要点：
1）数控机床由于采用的控制系统品种较多，电源接通、断开的控制要求各不相同，对于不同的机床、不同的系统，维修时应根据机床与系统的实际情况，分别进行处理。
2）机床维修者必须熟悉各种系统的电源通/断控制要求，维修时做到心中有数。
3）对于控制较复杂的机床，不仅要掌握系统的电源ON/OFF要求，而且还必须对照机床电气原理图进行维修处理，若非万不得已，不宜改变机床的原操作方式与原设计功能。
4）维修数控机床应是多方位的，既要掌握系统生产厂家推荐的线路与控制方法，还必须根据机床、系统的实际情况灵活处理，不可教条。
4.1.2电源模块（单元）故障维修20例

1.FANUC电源模块故障维修10例例31.浪涌吸收器引起的故障维修
","故障现象：某配套FANUC6M的立式加工中心，在工件加工过程中，系统突然断电，机床关机后，无法重新起动机床。
","分析及处理过程经检查，该机床电源输入单元的电源指示（PIL）与报警（ALM）灯同时亮。根据本章4.1.1节分析可知，电源指示（PIL）与报警（ALM）灯同时亮的原因是系统电源模块存在报警。
测量系统电源模块（A14B–0061–B002），发现输出+5V、+15V、–15V、24V全部为

OV，且电源模块的输入熔断器F11、F12熔断，换上熔断器后，测量发现电源输入存在短路现象。因此，初步判断开关电源的一次侧存在短路故障，必须根据原理图，找出短路原因，排除故障后才能起动机床。
FANUC6电源模块A14B-0061-B002的原理框图如图4-10所示，图中各主要元器件的作用如下：
F11、F12：输入熔断器，主回路短路保护元件。
VS11：浪涌吸收器，用于吸收交流输入侧的瞬间高压。NF11：输入滤波器，对输入交流电源进行滤波。
DS11：单相全波整流桥，整流产生直流母线电压。当输入电压为AC200V时，通过DS11整流以及C12、C13的滤波稳压，可以在直流母线上获得DC210~230V左右的直流电压。
C12、C1（3220?F/400V）：直流母线滤波电容。
R1（12*/205）：与RY11常开触点并联，作为起动电流限流电阻，开机瞬间由于RY11触点断开，R11串联接入直流母线主电路，限制开关主电路的冲击电流；+24V输出正常后，RY11吸合，通过RY11常开触点短接限流电阻。
SH11：调试、测量用短接设定端子，通过断开SH11可以使Q14、D24、Q15、D25与整流电路分离。
Q14、Q15：开关电源功率驱动管，作为开关电源主变压器输出驱动。
D24、D25：续流二极管，在驱动管Q14、Q15关断时，对电源变压器进行续流。
M11.T11、D11、C1（7330?F/25V）：电源模块辅助电源控制及驱动环节。主要由集成电路PS01，以及辅助开关电源驱动部分的输出驱动、放大环节的Q24、Q25、C14、C15、C16
等元器件（图中未画出）组成，用于产生电源模块用的DC10V基准电压与DC15V辅助控制电压。
M12、T12：开关电源主回路P5M前级驱动。主要由集成电路pS04，以及用于前级驱动进行驱动、放大的Q11、Q12、Q13、D12、D13等器件（图中未画出）组成，作为开关电源主变压器输出驱动管Q14、Q15的开关控制信号输入。
T13、D27、R2（391*）：开关电源一次侧电流检测环节（实际线路中，还包括C63、ZD19
等元器件，图中未画出）。
DS12、CH11：+24V电源整流、控制回路，CH11为整流输出平波电感。实际线路中，还包括R24、R2（5200Q/25）、C2（61000pF/1200V）等元件，图中未画出。
Q19：用于+24VP5M输出电压的调节与控制。实际线路中，还包括Q20、D30、D31、D32、D44、ZD15、C32、R38~R43等元器件，图中未画出。





CR13、Q16、C26~C3（01000?F/35V）：DC24V输出电压调节、滤波环节。实际线路中，还包括Q17、Q18、D28、D29、ZD13、ZD14、C31、C27、R28~R37等，图中未圆出。
R2（675m*/55）：DC24V输出过电流检测。实际线路中，还包括R27（200m*/55）等元件，图中未画出。
RG11、CR11：由HA17815集成稳压器等组成的DC15V稳压环节。实际线路中，还包括D33、D34、D35、ZD16、C33、C34、C61、R44、R51/R5（213*/35）等元器件，图中未画出。
DS13/14/15：+5V电源整流回路。实际线路中，还包括C40、C41、R46/R47（10*/
15）等元件，图中未画出。
CR14、C43~C4（72200?F/10V）：DCSV输出电压调节、滤波环节。实际线路中，还包括ZD18、C42、R49等元器件，图中未画出。
R4（84m*/205）：DCSV输出过电流检测。实际线路中，还包括R48（20m*/205），图中未画出。
R5（01*/205）、Q21：+5V虚拟负载。实际线路中，还包括R87、R88，图中未画出。

CH12、D36、C3（6
未画出。

470?F/50V）：–15V电源整流回路。实际线路中，还包括C37，图中

CR12、RG12：DC–15V由HA17815集成稳压器等组成的DC–15V稳压环节。实际线路中，还包括D37、D38、ZD17、C38、C39、C62、R45等元器件，图中未画出。
M13：基准电压调整、开关主电源P5M控制、DCSV、DC24V电压调整与电源单元监控环节。主要由集成电路HA16630G、R68/C97组成的P5M基准160kHz三角波生成环节等元器件组成。
VR11：DC10V基准电压调整。
VR12、R72、R73、R75、R76：DCSV电压调整环节。
M14、S1~S8、D41：电压监控环节。主要由集成电路VC02、“电压检测撤消”设定端子S1~S7组成。当S1~S7全部插入（通常情况）时，全部电压监控功能生效；取下相应的设定端子，该电压监控功能取消。
Q22：电源单元准备好信号（EN）输出驱动，在电源单元全部输出电压、辅助电压正常时，EN输出为“1”（TTL高电平）；当电源单元任何一路输出电压出现故障或外部报警信号（ALA、ALB触点闭合）输入时，EN输出为“0”（TTL低电平）。实际线路中，还包括D43、R79~R82等元器件，图中未画出。
Q23：电源单元OFF信号（*PF）输出驱动，当电源单元正常工作时，*PF输出为“1”
（TTL高电平）。实际线路中，还包括R83~R86等元件，图中未画出。

RY12：电源单元报警输出继电器，当任何一路输出电压出现故障或外部报警信号时，继电器接通，它一般作为输入单元的“互锁”信号。它与电源单元的进线熔断F11、F12的辅助触点并联后，在插头CP34–5/6脚输出电源故障信号（触点）；在系统中，一般都作为输入单元的报警输入信号。
ALA、ALB：外部报警触点输入，在外部出现报警时，通过触点闭合ALA、ALB。电源模块主要元器件的型号见表4–2。
表4–2电源模块主要元器件一览表

图上代号名称型号备注
M11集成电路PS01
M12集成电路PS04
M13集成电路HA16630G
M14集成电路VC02
RG11、RG12集成稳压电路HA17815PB或：?PC14315HA
VS11浪涌吸收器ENB4010–14Z
DS11单相全波整流桥ESAC06.06S5VB60
DS12整流桥ESAD33–02CV
DS13、14、15整流侨ESAD01–004S30SC4
D39~43、27、29、二极管IS953图中未全画出
D11、D32二极管V09C图中未画出
D30、D31二极管V19G图中未画出
D20~25二极管U19E图中未全画出
D28、34、35、37、38二极管V06C图中未画出
D36二极管ERD33–02图中未画出
D12~19二极管ER061–004图中未全画出
D33、45二极管U05C图中未画出
D44二极管ISS122H图中未画出
ZD14稳压管2.7EB图中未画出
ZD15稳压管3.9EB图中未画出
ZD18、19稳压管62EB1图中未画出
ZD16、17稳压管16EB3图中未画出
ZD13稳压管30EB2图中未画出


图上代号名称型号备注
ZD11稳压管75EB图中未画出
Q18、22、23晶体管2SA1152图中未全画出
Q11、16、25晶体管2SC1983图中未全画出
Q13晶体管2SC1983–O图中未画出
Q12晶体管2SC1983–R图中未画出
Q14、15晶体管2SC3046
Q19晶体管2SC2333
Q24晶体管2SC1247AF–B图中未画出
Q17、20晶体管2SC639S图中未画出
Q21晶体管2SD1027
CR11–CR14晶闸管CSM5B2
VR11、VR12电位器5k*
RY11继电器NCZD–P–DC24V
RY12继电器LAD1–DC12
根据以上原理图可以判定：F11、F12间存在短路的原因可能是由于VS11或NF11、DS11损坏而发生短路。
经检查，本例中为VS11短路，更换后，机床恢复正常（当维修过程中，若无备件，可以先取消VS11，临时使用）。",,,,,
