问题,答案
问题:如果电动机的反电势无电压或电压极性相反，可能是什么原因？,答案:若无电压，则可能是电动机的电刷磨损、接触不良或动力线断线；若电压极性相反，则为接线错误。
问题:如何进行进一步的调整？,答案:将全部设定及参数均恢复到原来值，记录新的电位器 RV2 调整值，并按下述的方法进行进一步的调整。
问题:FANUC直流/模拟式交流伺服系统的调整包括哪些内容？,答案:FANUC直流/模拟式交流伺服系统的调整包括直流速度控制单元的调整与检测、模拟式交流速度控制单元的调整与检测。
问题:直流速度控制单元的调整与检测包括哪些内容？,答案:直流速度控制单元的调整与检测包括调整电位器的设置，使速度控制单元与机床、电动机相匹配，以达到最佳性能，以及设置若干检测端子，方便维修测试使用。
问题:模拟式交流速度控制单元的调整与检测包括哪些内容？,答案:模拟式交流速度控制单元的调整与检测包括调整电位器的设置，使速度控制单元与机床、电动机相匹配，以达到最佳性能，以及设置若干检测端子，方便维修测试使用。
问题:什么是表5-15和5-16的内容？,答案:表5-15和5-16显示了各调整电位器与检测端子的含义。
问题:直流、模拟式交流速度单元的调整步骤是什么？,答案:直流、模拟式交流速度单元的调整步骤包括：确认控制电源电压、确认动作、进行偏移的调整。
问题:如何确认控制电源电压？,答案:确认控制电源电压时，需要按下“急停”开关，接通电源，确认电源电压，并确保电压包括速度控制单元的输入电压以及速度控制单元的各种辅助控制直流电压。
问题:在确认动作时需要注意什么？,答案:在确认动作时，需要解除“急停”开关，并做好按下“急停”开关的准备，用低速移动机床的坐标轴，若无异常声音或振荡，就继续进行中速200~1000mm/min、高速快速的50%及100%确认。
问题:如何进行偏移的调整？,答案:进行偏移的调整时，可以使用手动偏移调整或自动偏移调整。手动偏移调整需要观察诊断参数DGN800~803的显示，根据需要调整各轴的偏移量。自动偏移调整则需要通过速度控制单元上的按键进行设定。
问题:如何调节速度控制单元的电位器以减小误差？,答案:调节速度控制单元的电位器 RV2，使其位置跟随误差 DGN800 ~ 803 的显示值达到最小值。
问题:如何进行自动偏移调整？,答案:要进行自动偏移调整，需要选择 MDI 方式，使系统的“参数写入”处于有效状态，将机床参数的自动漂移补偿设定为有效，将机床参数的“到位宽度”值记下并设为 0，等待 3s 后自动漂移补偿生效，位置跟随误差变为 0 左右，再将“到位宽度”的参数设定为原来的值，“参数写入”恢复为禁止状态，按复位键取消报警。
问题:如何计算坐标轴位置跟随误差？,答案:当坐标轴以某一恒定进给速度运动时，位置跟随误差可用下式计算：Fess = K / 60，其中 ess 为位置跟随误差mm，F 为进给速度mm / min，K 为位置环增益S – 1。
问题:什么是低速/高速时的加减速电流和工作电流？,答案:在调整FANUC数字伺服系统时，需要关注哪些方面？
问题:什么是在数字伺服初始化过程中需要检查的电动机内装的脉冲编码器型号、规格？,答案:在数字伺服初始化过程中，需要检查电动机内装的脉冲编码器型号、规格。
问题:是否需要确认伺服系统是否使用外部位置检测器件，如果使用，需要确认其规格型号？,答案:在数字伺服初始化过程中，需要确认伺服系统是否使用外部位置检测器件，如果使用，还需要确认其规格型号。
问题:电动机每转对应的工作台移动距离是否需要在数字伺服初始化过程中检查？,答案:在数字伺服初始化过程中，需要检查电动机每转对应的工作台移动距离。
问题:机床的检测单位是否需要在数字伺服初始化过程中确定？,答案:在数字伺服初始化过程中，需要确定机床的检测单位。
问题:数控系统的指令单位是否需要在数字伺服初始化过程中确定？,答案:在数字伺服初始化过程中，需要确定数控系统的指令单位。
问题:数字伺服初始化的步骤是什么？,答案:数字伺服初始化的步骤包括：使数控系统处在“紧停”状态，设定系统的参数写入为“允许”状态，操作系统显示伺服参数画面，对于不同的系统，其操作方法有所区别。对于FANUC OC系统，需要将机床参数PRM389 bitO设定为“1”，使伺服参数页面可以在CRT上显示，关机使PRM389 bitO的设定生效，通过按系统操作面板上的“PARAM”键或直接通过系统显示的“软功能键”进行选择，直到出现指定的页面显示。
问题:对于 FANUC 15 系列系统，如何显示数字伺服初始化页面？,答案:按“SERVICE”键数次，直到出现图 5 – 18 所示的页面显示。
问题:对于 FANUC 16/18/20/21 系列系统，如何显示数字伺服初始化页面？,答案:将机床参数 PRM3111 bit0 设定为“1”，使伺服参数页面可以在 CRT 上显示。然后关机，使 PRM3111 bit0 的设定生效。接着按“SYSTEM”键，选择“系统”显示页面。最后按次序依次操作“软功能键”7SYSTEM § *7 > § *7SV – PRM § ，使图 5 – 18 所示的页面显示。
问题:如何设定伺服系统的指令单位？,答案:根据系统的要求设定伺服系统的指令单位INITIAL SET BITS 的 bit 0。
问题:如何设定初始化参数？,答案:设定初始化参数INITIAL SET BITS 的 bit 1为初始化方式见表 5 – 17。
问题:如何输入电动机代码参数？,答案:根据所使用的电动机，输入电动机代码参数“Motor ID No”。
问题:如何设定编码器参数 AMR？,答案:根据电动机的编码器输出脉冲数，设定编码器参数 AMR。在通常情况下，使用串行口脉冲编码器时，AMR 设定为 00000000。
问题:如何设定指令脉冲倍乘比 CMR？,答案:根据机床的机械传动系统设计，设定指令脉冲倍乘比 CMR。
问题:如何设定伺服系统的“电子齿轮比”参数“Feed gear”？,答案:根据机床的机械传动系统设计与使用的编码器脉冲数，设定伺服系统的“电子齿轮比”参数“Feed gear”的 N / M 的值。
问题:如何设定电动机转向参数？,答案:设定电动机转向参数“DIRECTION Set”，正转时为 111，反转时为 – 111。
问题:如何设定伺服系统的速度反馈脉冲数与位置反馈脉冲数？,答案:设定伺服系统的速度反馈脉冲数‘Velocity Pulse No”与位置反馈脉冲数‘Position PulseNo”。
问题:什么是半闭环系统和全闭环系统，它们的设定参数有什么区别？,答案:半闭环系统和全闭环系统的设定参数有所不同。对于半闭环系统，可以按照表5-17进行设定；当采用全闭环系统时，设定参数有所区别，可参见有关手册进行，在此从略。
问题:如何设定伺服系统的参考计数器容量“Refcounter”？,答案:根据编码器脉冲数、丝杠螺距、减速比等参数设定伺服系统的参考计数器容量“Refcounter”。
问题:FANUC数字伺服的参数调整与动态优化包括哪些内容？,答案:FANUC数字伺服的参数调整与动态优化包括：当数字伺服参数设定错误时，必须调整参数；以及FANUC数字伺服采用了部分新型的控制功能，用于调整伺服系统的动态特性，这些功能包括停止时的振荡抑制功能N脉冲抑制功能等。
问题:什么是伺服系统采用闭环控制可能导致的问题？,答案:当伺服系统采用闭环控制时，电动机不转时，速度反馈出现很小的偏移就可能引起电动机的振荡。
问题:什么是 N 脉冲抑制功能，它有什么作用？,答案:N 脉冲抑制功能可以在电动机停止时，从速度环比例增益中消除速度反馈脉冲的偏移量，从而避免电动机停止时的振荡。
问题:什么是机械谐振抑制功能，FANUC 数字伺服中用于机械谐振抑制的功能有哪些？,答案:机械谐振抑制功能是用于抑制机械谐振的功能，FANUC 数字伺服中用于机械谐振抑制的功能主要有：250?s 加速反馈功能、机械速度反馈功能、观察器功能、转矩指令滤波功能、双位置反馈功能等。
问题:s 加速反馈功能的作用是什么？,答案:?s 加速反馈功能是利用电动机的速度反馈信号乘以加速反馈增益，实现对转矩的补偿，从而对速度环的振荡进行抑制的功能。它对由于弹性联轴器联结或负载惯量的原因引起的 50 ~ 150Hz 的振荡具有抑制作用。
问题:机械速度反馈功能的作用是什么？,答案:机械速度反馈功能可以在电动机与机床间连接刚性不足时，将机床本身的速度反馈加入速度环中，从而提高速度环的稳定性。
问题:观察器功能的作用是什么？,答案:观察器功能用于消除机械系统的高频谐振干扰，提高速度环的稳定性。在数字伺服系统中，控制系统的状态变量为速度与扰动转矩，观察器的功能是将预测的速度状态变量用于反馈。
问题:转矩滤波器的作用是什么？,答案:转矩滤波器的作用是对转矩指令进行低通滤波，消除转矩指令中的高频分量，从而抑制机械系统的高频谐振。
问题:双位置反馈功能用于哪种系统？,答案:双位置反馈功能用于全闭环系统，它可以使全闭环系统获得与半闭环系统同样的稳定性。
问题:什么是超调补偿功能？,答案:超调补偿功能是通过数字伺服系统的不完全积分器，使得系统的转矩指令满足起动转矩指令 TCMD1 > 静摩擦转矩> 动摩擦转矩 > 停止时的转矩指令 TCMD2 的关系式，从而消除了系统的超调。
问题:什么是形状误差抑制功能，FANUC数字伺服中用于抑制形状误差的功能有哪些？,答案:形状误差抑制功能是在FANUC数字伺服中用于抑制形状误差的功能，主要有位置前馈、反向间隙加速两种功能。
问题:位置前馈是如何抑制加工形状误差的，它能带来什么好处？,答案:位置前馈通过前馈控制提高了系统的动态响应速度，从而减小系统的位置跟随误差，可以抑制加工的形状误差。同时，它还能提高加工精度和速度。
问题:反向间隙加速是如何抑制加工形状误差的，它能带来什么好处？,答案:反向间隙加速通过提高系统反向间隙补偿速度，减小了由于机械系统间隙引起的位置滞后，从而抑制加工的形状误差。它能提高加工精度并减少机械系统间隙对加工精度的影响。
问题:伺服系统停止时可能出现的振荡类型有哪些？如何调整参数以解决停止时的振荡？,答案:对于停止时的振荡，伺服系统可能发生的振荡有高频振荡与低频振荡两种。参数调整的步骤与内容见表 5 – 19。
问题:伺服系统移动时可能出现的振荡类型有哪些？如何调整参数以解决移动时的振荡？,答案:对于移动时的振荡，伺服系统也可能发生的振荡有高频振荡与低频振荡两种。参数调整的步骤与内容见表 5 – 20。
问题:什么是伺服系统移动时的超调？如何调整参数以解决超调问题？,答案:对于伺服系统移动时起调，参数调整的步骤与内容见表 5 – 21。
问题:在数控机床上，常用的伺服驱动系统有哪些公司生产的产品？其中有哪些主要的产品？,答案:在数控机床上，常用的伺服驱动系统除 FANUC 公司的产品外，另一主要的产品是 SIEMENS 的伺服驱动系统。
问题:SIEMENS 的伺服驱动系统可以分为哪两大类？其直流驱动采用什么控制单元？交流驱动可以分为哪两种形式？,答案:SIEMENS 的伺服驱动系统可以分为直流驱动与交流驱动两大类。其直流驱动一般都是采用 SCR 速度控制单元；交流驱动可以分为模拟式交流速度控制单元与数字式交流速度控制单元两种形式。
问题:SIEMENS直流伺服系统常用于哪些数控机床上？,答案:SIEMENS直流伺服系统一般用于20世纪80年代中期以前进口的数控机床上，配套的CNC有SIEMENS的3、6、8、PAIMOS系统等。
问题:常用的SIEMENS直流伺服系统的规格有哪些？,答案:常用的规格有6RA26** – 6MV30与6RA26** – 6DV30两种规格，前者6MV30用于电枢电压为DC200V的直流伺服电动机驱动，后者6DV30用于电枢电压为DC400V的直流伺服电动机驱动，最大输出电流均可以达到175A。
问题:SIEMENS直流伺服系统一般与哪些电动机配套使用？,答案:驱动器一般与1HU系列永磁式直流伺服电动机常用与1GS系列他励直流伺服电动机配套，组成数控机床的伺服进给驱动系统。
问题:SIEMENS直流伺服系统的最大位置增益是多少？,答案:驱动系统与CNC的位置控制系统配合，位置增益可以达到301/s以上，适用于大部分数控机床的位置控制。
问题:SIEMENS公司常用的交流模拟式伺服有哪些规格？,答案:SIEMENS公司常用的交流模拟式伺服主要有6SC610系列、6SC611A系列两种规格。
问题:SC610系列伺服驱动产品主要与哪个系列的交流伺服电动机配套使用？,答案:SC610系列伺服驱动产品主要与SIEMENS公司的1FT5系列交流伺服电动机配套使用。
问题:SC610系列伺服驱动系统以什么作为速度给定指令？,答案:SC610系列伺服驱动系统以±10V模拟量作为速度给定指令。
问题:SC610系列伺服驱动系统内部采用什么控制方式？,答案:SC610系列伺服驱动系统内部采用速度、电流双闭环控制。
问题:SC610系列伺服驱动装置的最大功率可以达到多少？,答案:SC610系列伺服驱动装置的最大功率可以达到40kW。
问题:SC610系列伺服驱动产品是SIEMENS公司早期的模拟型交流伺服驱动产品，它主要与1FT5系列交流伺服电动机配套使用。,答案:SC610系列伺服驱动系统以±10V模拟量作为速度给定指令，内部采用速度、电流双闭环控制，P9M调制。
问题:SC611A系列产品与6SC610系列的主要区别是什么？,答案:SC611A系列产品的主轴驱动器与伺服驱动器共用电源模块与控制总线，是一种进给轴、主轴一体化的结构形式，整体体积比6SC610系列大大缩小。
问题:SC611A系列产品中的伺服驱动器主要与哪些系列的交流伺服电动机配套？,答案:SC611A系列产品中的伺服驱动器主要与SIEMENS公司的1FT4、1FTS、1FT6系列交流伺服电动机配套。
问题:SIEMENS公司常用的交流数字式伺服有哪些规格？,答案:SIEMENS公司常用的交流数字式伺服主要有6SC611D系列、6SC611U系列等规格。
问题:SIEMENS 611U/Ue系列的基本结构是怎样的？,答案:SIEMENS 611U/Ue系列采用模块化安装方式，主轴与各伺服驱动单元共用电源。
问题:U/Ue伺服驱动模块有哪两种结构型式？,答案:U/Ue伺服驱动模块有单轴与双轴两种结构型式。
问题:U/Ue伺服驱动模块的控制电动机的最高频率可以达到多少？,答案:U/Ue伺服驱动模块的控制电动机的最高频率可以达到1400Hz。
问题:U/Ue伺服驱动模块带有哪种编码器信号接口？,答案:U/Ue伺服驱动模块带有SIN/COS 1 Vpp增量编码器信号接口。
问题:U/Ue伺服驱动器可以与哪些伺服电动机配套？,答案:U/Ue伺服驱动器可以与SIEMENS公司的1FT6系列、1FK6系列伺服电动机或IFN系列直线电动机配套。
问题:U/Ue伺服电动机的最大输出转矩可达多少？,答案:U/Ue伺服电动机的最大输出转矩可达140N·m。
问题:U/Ue伺服驱动模块的接口类型是什么？,答案:U/Ue伺服驱动模块带有PROFINET接口。
问题:U/Ue伺服驱动模块可以实现哪种控制？,答案:U/Ue伺服驱动模块可以实现对伺服驱动系统的速度与电流环进行闭环控制。
问题:U/Ue伺服驱动模块可以构成哪种伺服驱动系统？,答案:U/Ue伺服驱动模块可以与数控系统配套后，通过CNC的位置环控制，构成全数字式伺服驱动系统。
问题:U/Ue伺服驱动模块可以支持哪两种编码器类型？,答案:U/Ue伺服驱动模块可以支持SIN/COS 1 Vpp增量编码器和绝对编码器。
问题:RA26**系列直流伺服驱动器的主回路采用了什么类型的整流电路？,答案:RA26**系列直流伺服驱动器的主回路采用了晶闸管三相全控反并联桥式整流电路。
问题:RA26**系列直流伺服驱动器的调速方法是什么？,答案:RA26**系列直流伺服驱动器采用逻辑无环流双闭环调速，电流环为内环，速度环为外环。
问题:RA26**系列直流伺服驱动器的速度环与电流环采用了什么类型的调节器？,答案:RA26**系列直流伺服驱动器的速度环与电流环均采用了独立可调的比例一积分PI调节器。
问题:RA26**系列直流伺服驱动器为了提高系统的可靠性，采取了哪些措施？,答案:RA26**系列直流伺服驱动器为了提高系统的可靠性，采取了填充式双脉冲触发信号电路、相序保护与欠压保护两种保护措施，以及电流给定的静态“颤动偏置”和采用比例系数较大的电流调节器等措施。
问题:RA26**系列直流伺服驱动器的比例系数 P 和积分常数 I 的关系是什么？,答案:RA26**系列直流伺服驱动器的比例系数 P 和积分常数 I 是独立可调的，改变一个不会影响另一个。
问题:电流调节器引入了什么控制，使系统在轻载情况下仍然能运行平稳？,答案:电流调节器引入了电流自适应控制，使系统在轻载情况下仍然能运行平稳。
问题:系统的速度调节器引入了什么环节，可以有效防止超调？,答案:系统的速度调节器引入了加速度调节环节，可以有效防止超调。
问题:数控机床常用的 6RA26** 系列直流伺服驱动器由哪些控制板组成？,答案:数控机床常用的 6RA26** 系列直流伺服驱动器由调节器板 A2、电源与触发控制板 A3、触发脉冲变压器板 A4 和功率板组成。
问题:调节器板 A2 包括了哪些部分？,答案:调节器板 A2 包括了速度调节器、电流调节器、触发脉冲控制、速度 / 电流反馈信号的输入回路等。
问题:电源与触发控制板 A3 包括了哪些部分？,答案:电源与触发控制板 A3 包括了驱动器的直流控制电源、触发同步信号、锯齿波与触发脉冲控制、调节器封锁等部分的控制线路。
问题:触发脉冲变压器板 A4 安装了什么？,答案:触发脉冲变压器板 A4 安装了 12 只触发脉冲变压器以及相应的阻容吸收元器件。
问题:什么是 AO1、A02 控制板，它们在与 IGS 系列他励直流伺服电动机配套时的作用是什么？,答案:AO1、A02 控制板是励磁控制与调节板，在与 IGS 系列他励直流伺服电动机配套时可以增加励磁控制与调节。
问题:什么是 A1 控制板，它的作用是什么？,答案:A1 控制板是带有加速度调节器的速度给定积分控制板，通过加速度调节器的调节可以改变速度给定信号的斜坡上升时间。
问题:RA26 **系列直流伺服驱动器的状态指示灯有哪些，它们分别代表什么？,答案:RA26 **系列直流伺服驱动器设有不同的状态指示灯，包括故障指示灯 V79，当故障指示灯亮时代表驱动器存在故障，可能的原因包括电源相序接反等。
问题:电源缺相或相位不正确的可能原因是什么？,答案:可能的原因包括电源缺相或相位不正确。
问题:200ms延时封锁指示灯V78亮起的可能原因有哪些？,答案:可能的原因包括电枢回路或励磁回路断线、速度反馈信号断线、测速发电机不良、励磁电流太小、驱动器的控制端63未加入使能信号或驱动器的控制端64未加入使能信号。
问题:调节器释放状态指示灯V103亮起的可能原因是什么？,答案:调节器释放状态指示灯V103亮起的可能原因是驱动器的控制端64未加入使能信号。
问题:正组工作状态指示灯 V56 的作用是什么？,答案:调节器正组工作状态指示灯 V56 安装于调节器板 A2 上，当指示灯亮时代表驱动器主回路 SCR 的正组处在工作状态。坐标轴静止时，由于闭环调节作用，正组工作状态指示灯 V56 与下述的反组工作状态指示灯 V55 交替闪烁。
问题:反组工作状态指示灯 V55 的作用是什么？,答案:调节器反组工作状态指示灯 V55 安装于调节器板 A2 上，当指示灯亮时代表驱动器主回路 SCR 的反组处在工作状态。与上述正组工作状态指示灯 V56 一样，坐标轴静止时，与正组工作状态指示灯 V56 交替闪烁。
问题:速度达到指示灯 V6 的作用是什么？,答案:当实际伺服电动机转速与给定转速相等时，指示灯亮；同时，伺服驱动器内部速度到达继电器动作，驱动器输出速度到达触点信号。
问题:驱动器过电流指示灯 V7 亮起表示什么？,答案:驱动器过电流指示灯 V7 亮起表示驱动器过电流。当驱动器在加减速时，即使驱动器输出电流大于给定电流，指示灯亦不亮。但当加减速过程结束，并经 200ms 延时后，若实际输出电流仍然大于给定电流，则指示灯亮，驱动器内部继电器动作，并输出过电流触点信号。
问题:实际速度低于给定速度指示灯欠速V8 亮起表示什么？,答案:实际速度低于给定速度指示灯欠速V8 亮起表示驱动器处在欠速状态。当驱动器在运行过程中，由于某种原因，使电动机实际转速低于给定速度时，指示灯亮，且驱动器内部继电器动作，并输出驱动器“欠速”触点信号。
问题:电动机转速过高的可能原因有哪些？,答案:电动机转速过高的可能原因包括电动机电枢极性接反、测速发电机极性接反、励磁回路输入电压过低和速度给定输入电压过高。
问题:电动机运转不稳，速度时快时慢的可能原因有哪些？,答案:电动机运转不稳，速度时快时慢的可能原因包括伺服单元参数调整不当、速度反馈信号不稳定、测速发电机和电动机轴的联结不良、伺服电动机的碳刷磨损、电枢绕组局部短路或对地短路和速度给定输入电压受到干扰或连接不良。
问题:电动机起动时间太长或达不到额定转速的原因是什么？,答案:伺服单元的给定滤波器参数调整不当。
问题:输出转矩达不到额定值的原因是什么？,答案:伺服单元的电流极限调节过低。
问题:伺服电动机发热的原因是什么？,答案:伺服单元的电流极限调节过高。
问题:RA26**系列直流伺服驱动器如何进行检测与调整？,答案:RA26**系列直流伺服驱动器设计有较多的调整电位器，用于调节伺服驱动器参数与动、静态性能，这些电位器的作用与通常情况下的调整值见5-23。
问题:RA26**系列直流伺服驱动器有哪些调整、设定与检测端？它们的含义是什么？,答案:RA26**系列直流伺服驱动器设有调整、设定与检测端，含义见表5-24。
问题:SC610系列伺服驱动系统的基本组成是什么？,答案:SIEMENS 6SC610伺服驱动系统由伺服变压器、整流单元、滤波电容、直流电压控制、电源单元、调节器、功率单元等组件组成。各组件的功能如下：
问题:直流母线电压控制模块G1O，G2O的作用是什么？,答案:当电动机制动、回馈能量超过电容器的负荷能力时，通过直流电压控制组件，可以使多余的能量通过放电电阻释放，从而防止直流母线电压的升高。
问题:直流电压控制组件有哪些规格，分别适用于哪种驱动器？,答案:根据驱动器配置的不同，直流电压控制组件有两种规格：G1O适用于峰值功率3Ok.，持续功率0.3k.以下驱动器，组件安装在电源模块GO板上；G2O适用于峰值功率9Ok.，持续功率0.9k.以下驱动器，组件单独安装，在机箱中占据一个模块位置。
问题:电源模块GO的功能是什么？,答案:电源模块产生控制部件所需的各种辅助控制电压，并对各种电压信号进行监控；此外还负责与NC进行信号交换如：使能信号、伺服准备好信号等。
问题:调节器模块N1，N2的作用是什么？,答案:调节器模块主要完成驱动器的速度与电流调节。
问题:什么设备负责将来自调节器的 P.M 控制信号进行功率放大？,答案:功率模块A**负责将来自调节器的 P.M 控制信号进行功率放大。
问题:根据伺服电动机的不同，功率模块有哪些规格？,答案:根据伺服电动机的不同，功率模块分为 3A、8A、2OA、3OA、4OA、7OA、9OA 等规格。
问题:在结构上，功率模块有哪些分类？,答案:在结构上，功率模块有单轴、双轴与三轴之分。
问题:SC61O系列使用中应注意哪些问题？,答案:为减少开机瞬间对电网和驱动器的冲击，对功率较大的驱动器，在进线侧应采用浪涌电流限制器。
问题:为什么在关机的数秒钟内加入外部电源不会导致故障信息的丢失？,答案:在关机的数秒钟内，驱动器内有很大的滤波电容，可以保持故障信息。
问题:如果需要始终外加 + 24V 直流电压，该电源电压的范围应该是多少？,答案:该电源电压的范围应该是 DC18 ~ 22V。
问题:维修时应检查电气柜的哪个方面？,答案:维修时应检查电气柜的通风状况。
问题:SC610 伺服驱动器最常见的故障是什么？,答案:SC610 伺服驱动器最常见的故障是电源模块与调节器模块的故障。
问题:电源模块GO上的故障指示灯有哪几个？,答案:电源模块GO上设有 4 个故障指示灯，由下到上依次为 V1、V2、V3、V4。
问题:V1 故障指示灯代表什么含义？,答案:V1 故障指示灯代表驱动器发生报警*故障。
问题:V2指示灯亮起表示什么故障？,答案:V2指示灯亮起表示驱动器±15V辅助电源故障。
问题:V3指示灯亮起表示什么故障？,答案:V3指示灯亮起表示直流母线过电压故障。
问题:V4指示灯亮起表示什么故障？,答案:V4指示灯亮起表示驱动器端子63/64未加使能信号。
问题:调节器模块中对于每一轴都设有几个故障指示灯？,答案:调节器模块中对于每一轴都设有4个故障指示灯。
问题:V5指示灯亮起表示什么故障？,答案:V5指示灯亮起表示测速反馈报警。
问题:V6指示灯亮起表示什么故障？,答案:V6指示灯亮起表示速度调节器达到输出极限。
问题:V7指示灯亮起表示什么故障？,答案:V7指示灯亮起表示驱动器过载报警I2t监控。
问题:V8指示灯亮起表示什么故障？,答案:V8指示灯亮起表示伺服电动机过热。
问题:当驱动器发生报警时，哪些指示灯会亮起？,答案:当驱动器发生报警时，相应的报警指示灯会亮起。
问题:最常见的故障指示灯显示及可能的原因是什么？,答案:最常见的故障指示灯显示及可能的原因包括速度调节器监控 V2 V6、V10指示灯亮，其原因可能有驱动器或电动机的三相电源线或电枢线相序错误、驱动器功率模块上的 L1、L2、L3 未与电动机的 U、V、W 端子一一对应、控制电缆连接不良等。
问题:什么情况下会出现“速度监控”报警和电动机严重振荡？,答案:当反馈电缆中的信号线断时，将产生“速度监控”报警，同时电动机严重振荡。
问题:在运转过程中，什么情况下会出现速度监控和 I2 t 同时报警，V2可能的原因有哪些？,答案:当V6，V10和 V3 V7，V11指示灯同时亮时，出现速度监控和 I2 t 同时报警的可能原因有：
问题:如何判断电动机是否过载、机械部分是否调试得当？,答案:判断电动机是否过载、机械部分是否调试得当，可采用以下方法：
问题:什么电压值应在驱动器工作状态下进行测量？,答案:这一电压值应在0~±10V范围内。
问题:电压值的符号表示什么？,答案:电压值的符号表示电流的方向。
问题:V对应于什么？,答案:10V对应于调节器模块设定的电流量最大值Imax。
问题:举例说明电动机和功率模块的选用以及调节器模块设定的最大电流。,答案:例如，电动机为1FT5O72-OACO1电动机额定电流Ie=15.6A，功率模块选用A4O4O/8OA，调节器模块设定的最大电流为Imax=54.4A。
问题:如何通过测量电压值计算电动机实际工作电流？,答案:通过下式可算出电动机实际工作电流：I=2.8x54.4=15.2A。
问题:驱动器在起动和制动过程中将在什么电流下进行？,答案:驱动器在起动和制动过程中，将在最大电流Imax下进行。
问题:在正常工作时，计算电流有何要求？,答案:在正常工作时，计算电流不得大于电动机额定电流I，否则将产生I2t监控。
问题:A系列伺服驱动系统的基本组成是什么？,答案:A系列产品为SIEMENS公司在6SC610基础上改进的模拟型交流伺服驱动产品，驱动器直流母线电压为600V/625V，可以直接与380V/400V电网连接。伺服进给轴最大输出转矩可达185N·m，额定转速从1500r/min到8000r/min；主轴最大输出功率可达76kW，最高转速可达到18000r/min。611A交流伺服驱动器主要由电源模块、控制器模块、功率模块和接口模块组成。
问题:什么是非受控电源模块UE，适用于什么场合？,答案:非受控电源模块UE采用二极管整流，通过制动电阻释放因电动机制动和电源波动产生的能量，保持直流母线电压的基本不变。它适用于小功率、特别是制动能量较小的场合。
问题:可控电源模块I/R采用了什么整流方式，适用于什么场合？,答案:可控电源模块I/R采用晶体管整流，P6M闭环控制，可以通过再生制动方式将直流母线上的能量回馈电网。它适用于大功率、制动频繁、回馈能量大的场合。
问题:电源模块由哪些部分组成？,答案:电源模块由整流电抗器内置式或外置式、整流模块、预充电控制电路、制动电阻以及相应的接触器、检测、监控电路组成。
问题:驱动器与运行有关的重要参数如何监控？,答案:驱动器与运行有关的重要参数，如直流母线电压、辅助控制电源±15V电压、+5V电压，以及电源电压过低与缺相都在电源模块中进行监控，并作为“驱动器准备好”的先决条件。
问题:什么是电源模块？它提供了什么电压？,答案:电源模块带有预充电控制与浪涌电流限制环节，预充电完成后自动闭合主回路接触器。它提供 DC600V / 625V 直流回线电压。
问题:进给驱动模块由哪些部分组成？它采用什么控制方式？,答案:进给驱动模块主要由逆变主回路、速度调节器、电流调节器、使能控制电路和轴监控电路等部分组成。它采用速度、电流双闭环模拟量控制。
问题:进给驱动模块的结构是怎样的？有哪些类型？,答案:进给驱动模块可以分为控制模块与功率模块两大部分，并分单轴模块与双轴两种类型。
问题:进给驱动模块的电源来自哪里？速度反馈信号来自哪里？,答案:进给驱动模块逆变主回路的电源及辅助控制电源由电源模块提供。速度反馈信号来自伺服电动机内置式 F 测速发电机。
问题:什么是速度调节器的比例增益、积分时间和速度漂移？,答案:速度调节器的比例增益KP、积分时间TN和速度漂移是可以通过独立电位器进行调整和设定的参数。
问题:如何调整电流调节器的参数？,答案:电流调节器采用PI调节器，但其参数如电流极限、比例增益等不能通过电位器调节，必须通过模块上的设定开关使之与控制电动机相匹配。
问题:驱动器如何使进给轴进入电流转矩控制方式下运行？,答案:通过设定开关的设定或外部控制信号，驱动器可以使进给轴进入电流转矩控制方式下运行。
问题:主轴驱动模块可以与哪些主轴电动机配套使用？,答案:主轴驱动模块可以与SIEMENS、IPH6、IPH4、IPH2主轴电动机配套使用，构成交流主轴驱动系统。
问题:A系列伺服驱动器电源模块的状态显示有哪些？,答案:A系列伺服驱动器电源模块UE或I/R设有6个状态指示灯LED，包括VI、O、V2、V1、SPP红和辅助控制电源±15V故障指示灯。
问题:标准进给驱动模块的状态显示,答案:标准进给模块设有“轴故障”H1与电动机 / 电缆连接故障H2两个红色状态指示灯，其含义如下：
问题:什么是驱动模块超过允许温升的含义？,答案:驱动模块超过了允许的温升是指驱动模块的温度超过了制造商规定的正常工作温度范围。
问题:电动机与驱动器电缆连接不良可能造成什么后果？,答案:电动机与驱动器电缆连接不良可能导致电动机无法正常运转，甚至损坏电动机和驱动器。
问题:H2 电动机/ 电缆连接故障指示灯亮起时，表示什么？,答案:H2 电动机/ 电缆连接故障指示灯亮起，表明监控电路检测到来自伺服电动机的故障。
问题:伺服电动机内装式测速发电机故障可能导致什么问题？,答案:伺服电动机内装式测速发电机故障可能导致电动机无法正常运转，甚至损坏电动机和驱动器。
问题:带扩展接口的进给驱动模块状态显示有哪些含义？,答案:带扩展接口的进给驱动模块状态显示可以通过 7 段数码管指示驱动器的工作状态，包括 I2 t 监控、转子位置检测器不良、伺服电动机过热、测速发电动机不良、速度控制器达到输出极限等。
问题:U/Ue系列伺服驱动器的故障现象可以参考哪个表格进行维修？,答案:在维修611U/Ue系列伺服驱动器时，可以根据故障现象参见表5-25进行维修。
问题:U/Ue系列数字式交流伺服驱动系统的基本结构与哪个系列相似？,答案:U/Ue系列数字式交流伺服驱动系统的基本结构与611A相似，采用模块化安装方式。
