questions,answers
在数控系统中，被控对象是一个并行活动的有机整体，对吗？,是的，在数控系统这样的实时控制系统中，被控对象是一个并行活动的有机整体，对被控对象进行控制和监视的任务也是并行执行的。
多重中断的并行处理技术是用于处理多任务控制系统的实时任务的，对吗？,是的，多重中断的并行处理技术是对于有实时要求，且各种任务互相交错的多任务控制系统，这时各种实时任务被安排成不同优先级别的中断服务程序，或在同一个中断程序中按其优先级高低而顺序运行，任务主要以优先级进行调度，任何时候CPU运行的都是当前优先级较高的任务。
在实时控制系统中，任务之间的逻辑关系需要通过通信来协调，对吗？,是的，无论采用哪种并行处理技术，各任务间都存在着各种逻辑联系，必须进行通信才能共同完成对某个对象（如数控机床）的控制和监视，各任务之间可以采用设置标志的方法、共同使用某一公共存储区的方法及多处理器串行通信等方法进行联系。
什么类型的软件结构适合采用集中控制的单微处理器CNC装置？,前后台型软件结构适合采用集中控制的单微处理器CNC装置。
前后台型软件结构中，前台程序和后台程序分别负责什么功能？,在前后台型软件结构中，前台程序为实时中断程序，承担了几乎全部实时功能，包括位置控制、插补、辅助功能处理、面板扫描及输出等。后台程序主要用来完成准备工作和管理工作，包括输入、译码、插补准备及管理等，通常称为背景程序。
背景程序是如何运行的？,背景程序是一个循环运行程序，在其运行过程中实时中断程序不断插入，前后台程序相配合完成加工任务。程序启动后，运行完初始化程序即进入背景程序环，同时开放定时中断，每隔一固定时间间隔发生一次定时中断，执行一次中断服务程序。
系统初始化后等待什么的按下？,   答案：启动按钮的按下
启动按钮按下后，对什么进行预处理？,   答案：对第一个程序逻辑段译码进行预处理
预处理完成后，得到什么参数？,   答案：得到插补所需要的各种参数，如刀心轨迹的起点、终点坐标和刀具中心的位移量及圆弧插补时圆心的各坐标分量等
若有辅助功能码，将其送到哪里保存？,   答案：将其送系统工作寄存器保存
将插补缓冲存储区的内容送至哪里？,   答案：将插补缓冲存储区的内容送至插补工作存储区
系统工作寄存器中的辅助功能码送至哪里？,   答案：送至系统标志单元
设置标志后，实时中断程序才能进行什么？,   答案：实时中断程序才能进行插补、伺服输出、辅助功能处理
在自设立两个标志到插补完成这段时间，CNC装置工作如何？,   答案：CNC装置工作最为繁忙
在这段时间里，中断程序要进行什么？,   答案：中断程序要进行本程序段的插补及伺服输出
在这段时间里，背景程序要完成什么？,    答案：背景程序要完成下一程序段的译码和预处理
什么是中断型软件结构，它如何实现系统管理？,中断型软件结构没有前后台之分，根据各控制模块实时的要求不同将控制程序安排成不同级别的中断服务程序，整个软件是一个大的多重中断系统。系统的管理功能主要通过各级中断服务程序之间的通信来实现。
中断型软件结构中如何安排位置控制？,位置控制被安排在级别较高的中断程序中，其原因是刀具运动的实时性要求最高，CNC装置必须提供及时的服务。
中断程序的通信方式有哪些？,中断程序之间采取的通信方式有设置软件中断、硬件中断和时钟定时执行等方式。例如，表5-2中第1、2、4级设置成软件中断，第6级设置成硬件中断，由时钟定时执行，每4ms中断一次，第6级中断请求两次后，第4级中断产生一次（第4级每8ms产生一次）。
第4级中断简化框图包括哪些阶段？,第4级中断简化框图包括设置标志、第4级预处理、速度处理、插补预处理和进给量换算等阶段。
插补预处理的任务是什么？,插补预处理是将由第1级中断计算出的并已存于“输入寄存器”的本程序段刀具运动的中心轨迹等参数及一些轨迹线型（G01，G02）标志，搬入插补参数区。
第6级中断主要完成哪些任务？,第6级中断主要完成位置控制、4ms定时计时和存储器奇偶校验工作。其中，位置控制是在软件和硬件配合下完成的，软件部分的任务是在第6级中断中，定时地从“实际位置计数器”中回收实际位置值，然后将位置指令值与实际位置值之间的差值换算成速度指令值，送给硬件的“速度指令寄存器”，去控制电机的运转。
数控系统的接口电路有哪些功能？,数控系统的接口电路需要接收机床操作面板上的开关信号、按钮信号、机床的各种限位开关信号，也需要把某些工作状态显示在操作面板的指示灯上，并把控制机床的各种信号送到强电柜控制执行机构的动作。这些工作都要经过1/O接口来完成。]
什么是1/O接口在CNC系统中的作用？,1/O接口是CNC装置和机床、操作面板之间信号交换的转换接口，是CNC系统与外界交换信息的必由之路，在CNC系统中占有重要的位置。
CNC系统与输入/输出设备之间如何连接？,不同的输入/输出设备与CNC系统相连接，采用与其相应的I/O接口电路或接口芯片。接口芯片一般分为专用接口芯片和通用接口芯片。
1/O接口电路的作用是什么？,1/O接口电路的作用和要求是：进行必要的电隔离，防止干扰信号的串入和强电对系统的破坏；进行电平转换和功率放大。
常用的1/O接口电路器件有哪些？,在数控系统的1/O接口电路中，常用的器件有光电耦合器和继电器（如簧式继电器、固态继电器等）。
CNC系统显示功能的重要性是什么？,CNC系统显示功能直接决定系统人机界面的友好程度，应该尽量让操作者了解系统的当前状态，并指导进一步的操作等。
什么是常用的显示器类型？,常用的显示器类型包括数码管LED、液晶显示器LCD、阴极射线管CRT和薄膜晶体管TFT。
哪些接口芯片可以控制LED和LCD显示器？,一般LED和LCD显示器可由8255、8155、8273、8279等接口芯片进行控制。
在数控系统中，常用的显示器有哪些？,在数控系统中，常用的显示器包括LCD和CRT显示器。
显示器在数控系统中主要显示哪些内容？,显示器在数控系统中主要显示的内容包括当前功能状态区、当前执行程序区、动态坐标显示区、动态轨迹显示区、1/0口状态区、有关参数调整区、错误信息提示区、操作信息区、动态键提示区。
现代CNC装置是否具有通信功能？,现代CNC装置都带有标准串行通信接口，能够方便地与编程器及微型计算机相连，进行点对点通信，实现零件程序、参数的传送。
RS-232C接口标准是什么？,RS-232C接口标准是美国电子工业协会（EIA）在1969年公布的数据通信标准，是串行通信中广泛应用的标准。
什么是RS-232C标准？,RS-232C标准是推荐标准的英文缩写，定义了数据终端设备（DTE）和数据通信设备（DCE）之间的连接信号的含义及其电压信号规范等。
DTE和DCE分别代表什么？,DTE代表数据终端设备，可以是计算机。DCE代表数据通信设备，一般指调制解调器，表示为Modem。
RS-232C标准规定使用多少根插针的标准连接器？,RS-232C标准规定使用25根插针的标准连接器，并对连接的尺寸及各插针的排列位置等都作了明确的规定。
RS-232C信号状态有哪几种？,RS-232C连接器任何插针信号都对应着一种状态，该状态为下面任何一对可能状态中的一种：SPACE/MARK（空号/传号）：ON/OFF。
RS-232C电平与TTL逻辑电路电平有何不同？,RS-232C电平与TTL逻辑电路电平不同，它们之间必须采用电平转换电路，常用的芯片有MC1488或74188（用作驱动器）、MC1489（用作接收器）。
什么是RS-232C接口？,RS-232C接口是一种不平衡接口，每个AS-电路采用单线，两个方向的传输共用一个信号地线。
RS-232C接口的最大通信距离和速率是多少？,RS-232C接口的最大通信距离一般不超过15m，通信速率不超过20KB/s。
什么是RS-449标准？,RS-449标准是EIA于1977年11月颁发的直接涉及机械特性和功能特性的标准。它对RS-232C标准作了比较大的修改。
RS-449标准规定了哪些内容？,RS-449标准规定了使用串行二进制数据交换的数据终端设备和数据电路终端设备的通用37针和9针连接器连接，以及当传送速率低于20KB/s时，类别I信号可以通过非平衡RS-423A或平衡RS-422A电气特性实现。
什么是类别I信号，它们使用什么电气特性？,类别I信号包括SD、TT、RT、CS、TR、RD、ST、RS、RR和DM。当传送速率高于20KB/s时，类别I信号必须使用平衡RS422A电气特性。
类别II信号使用什么电气特性？,类别II信号总是使用RS-423A电气特性。
RS-423A和RS-422A的区别是什么？,RS-423A采用了非平衡发送器、差分接收器，每个信号一根导线，每个方向都有一根独立的信号回线，可传输的信号速率达到30KB/s。RS-422A采用的是平衡发送器、差分接收器，每个信号两根导线，可传输的信号速率高达100KB/s。
DNC通信接口技术的分类有哪些？,DNC通信接口技术可以分类为DNC通信接口功能分类。DNC由直接数字控制发展到分布式数字控制，其内涵和功能也有所扩展。前者主要目的是为了解决早期数控系统因使用纸带而引起的一系列问题，主要功能是下传NC程序；后者除传送NC程序外，还具有系统状态采集和远程控制等功能。
什么是在20世纪90年代扩大了DNC内涵和功能的主要原因？,在20世纪90年代，DNC的内涵和功能扩大了，CNC主机可以与工厂级的计算机通过网络等方式进行通信，此外，DNC主机还可以集通信、控制、计划、管理、设计等功能于一体。
DNC通信接口功能可分为哪三种类型？,根据DNC通信接口功能的角度，DNC可以分为基本DNC、狭义DNC和广义DNC三种。
哪些类型的DNC通信接口物理层可用于数控系统？,数控系统的DNC通信接口物理层有RS-232C、RS-422和RS-485等多种形式，有时需外加一接口转换板。
如何实现狭义DNC功能？,利用预备的RS-232C串行通信口可以实现狭义DNC功能。
什么是FMS和CIMS，它们是如何通过CNC装置和系统设备联网的？,FMS和CIMS是通过企业局域网络（LAN）将CNC装置和各种系统设备联网构成的。联网时应能保证高速和可靠地传送数据和程序，一般采用同步串行传送方式，并在CNC装置中设有专用的通信接口。
什么是以ISO开放式互联系统参考模型为基础的通信协议？,通信协议都采用以ISO开放式互联系统参考模型的7层结构为基础的有关协议，或IEEE802局域网络有关协议。这种协议能够实现计算机之间的信息交换和资源共享。
什么是MAP协议，哪些公司支持它？,制造自动化协议MAP已很快成为应用于工厂自动化的标准工业局域网协议，FANUC、SIEMENS、A—B等公司表示支持MAP，并在它们生产的CNC装置中可以配置MAP2.1或MAP3.0的网络通信接口。
计算机网络是如何实现互联的？,计算机网络是通过通信线路并根据一定的通信协议互联起来的。CNC装置可以看作是一台具有特殊功能的专用计算机，计算机的互联是为了交换信息和共享资源。
局域网络的特点是什么？,局域网络通常在工厂范围内应用，具有距离限制（几千米）、较高的传输速率、较低的误码率和可以采用各种传输介质（如电话线、双绞线、同轴电缆和光导纤维）。
什么是OSI／RM？,OSI／RM是开放系统互连参考模型的缩写，它是一种网络的基础，具有7个层次结构。
OSI／RM的最大优点是什么？,OSI／RM的最大优点在于有效地解决了异种机之间的通信问题，让两个系统之间可以相互有效地进行通信。
如何实现同等层间通信？,同等层间通信必须遵循一定的规则或约定，这些规则和约定称为协议。完成一组同样的通信功能、这些功能分成相同的层次、同等层提供相同的功能和共享共同协议是实现同等层间通信的必要条件。
局域网络标准由哪个委员会提出？,局域网络标准由IEEE802委员会提出，并已被ISO采用。
局域网络标准规定了哪些协议？,局域网络标准规定了链路层和物理层的协议，将数据链路层分成逻辑链路控制（LLC）和介质存取控制（MAC）两个子层。
SINEC H1工业局域网络由哪个公司开发？,SINEC H1工业局域网络由SIEMENS公司开发。
SINEC H1工业局域网络的传输载体有哪些？,SINEC H1工业局域网络的传输载体有双绞线、同轴电缆、光导纤维。
如何将SINUMERIK850系统连接至SINEC H1网络？,为了将SINUMERIK850系统连接至SINEC H1网络，在850系统中插入专用的工厂总线接口板CP535，通过SINEC H1网络，850系统可以与主控计算机交换信息、传递零件程序、接收指令、传送各种状态信息等。
什么系统可以同时处理多达16个通道的加工程序，最多控制多少个轴？,SIEMENS公司的850系统可以同时处理多达16个通道的加工程序，并且最多可以控制24个轴和6个轴。
850系统的结构可以分为哪三个区域？,850系统的结构可以分为NC区、PLC区和COM区。
PLC区的作用是什么？,PLC区是内装的可编程控制器，负责传统数控功能以外的其他功能。
COM区的主要任务是什么？,COM区的主要任务是零件程序和中央数据的存储和管理，以及图形仿真的处理和接口的1/O处理。
主计算机送来的零件程序经过哪些步骤被处理并存储到NC零件程序存储器中？,主计算机送来的零件程序首先通过工业局域网络到达850系统的PLC区的CP535接口，然后经过专用接口功能模块处理，存入多口RAM，最后由COM区将其存入NC零件程序存储器中。
数据帧的内容包括哪些部分？,数据帧的内容包括信息帧长度、标识段、差错编码和有效的实际数据。
什么是SINUMERIK850接入星形网络的方式？,SINUMERIK850可以通过插入AS512接口板，采用964R规程接入星形网络实现点到点通信。
信息帧格式中有效数据的最大长度是多少？,信息帧格式中有效数据的最大长度为128字节。
MAP是什么，它的特点有哪些？,MAP是美国GM公司发起研究和开发的用于工厂车间环境的通用网络通信标准，目前已成为工厂自动化的通信标准。其特点包括采用适应工业环境的令牌通信网络访问方式、总线结构、适应工业环境的技术措施提高可靠性、较完善面针对性强的高层协议以支持工业应用、较完善的体系和互联技术。
可编程控制器在数控系统中处理的信息主要分为哪两类？,可编程控制器在数控系统中处理的信息主要分为控制坐标轴运动的连续数字信息和控制刀具更换、主轴启停、换向变速、零件装卸、冷却液开关和控制面板输入输出的逻辑离散信息。
早期机床中有关顺序逻辑和开关信息的处理主要采用什么方式实现？,早期机床中有关顺序逻辑和开关信息的处理大部分采用继电器逻辑来实现。
,什么是PLC，它在数控系统中扮演什么角色？
,PLC的结构包括哪些部分？
什么是置内计算，它可以在何处存储？,置内计算是指用户根据工程现场的生产过程和工艺要求而编写的应用程序，在修改调试完成后可由用户固化在EPROM中或存储在磁带、磁盘中。
工作数据指的是什么，它们通常存储在哪里？,工作数据是指PLC运行过程中需要经常存取，并且会随时改变的一些中间数据，为了适应随机存取的要求，它们一般存放在RAM中。
PLC所用存储器主要由哪些形式组成？,PLC所用存储器基本上由PROM、EPROM和RAM三种形式组成，而存储器总容量随PLC类型或规模的不同而改变。
输入输出模块的作用是什么，它们有哪些类型？,输入输出模块是PLC内部与现场之间的桥梁，它一方面将现场信号转换成标准的逻辑电平信号，另一方面将PLC内部逻辑信号电平转换成外部执行元件所要求的信号。根据信号特点又可分为直流开关量输入模块、直流开关量输出模块、交流开关量输入模块、交流开关量输出模块、继电器输出模块、模拟量输入模块和模拟量输出模块等。
编程器的用途是什么，它通常由哪些部分组成？,编程器是用来开发、调试、运行应用程序的特殊工具，一般由键盘、显示屏、智能处理器、外部设备（如硬盘/软盘驱动器等）组成，通过通信接口与PLC相连。
电源单元的作用是什么，它通常提供哪些输出？,电源单元的作用是将外部提供的交流电转换为可编程控制器内部所需要的直流电源，有的还提供了DC 24V输出。一般来讲，电源单元有三路输出：一路供给CPU模块使用；一路供给编程器接口使用；还有一路供给各种接口模板使用。]
什么是电源单元对PLC的重要性？,电源单元对PLC的要求很高，因为它需要具有良好的电磁兼容性能、工作稳定性和过电流过电压保护功能。
PLC中后备电池的作用是什么？,后备电池（如锂电池）用于在掉电时及时保护RAM区中的信息和标志。
扩展接口在PLC中的作用是什么？,扩展接口主要用于连接扩展PLC单元，从而扩大PLC的规模。
智能1/O模板有哪些功能？,智能1/O模板能够独立完成某种专用的功能，如计数和位置编码器模块、温度控制模块、阀控制模块、闭环控制模块等。由于它和主PLC是并行工作的，从而大大提高了PLC的运行速度和效率。
PLC基本软件包括哪些部分？,PLC基本软件包括系统软件和用户应用软件。系统软件一般包括操作系统、语言编译系统、各种功能软件等。用户应用软件是用户根据电气控制线路图采用梯形图语言编写的逻辑处理软件。
PLC的输入/输出是什么？,PLC的输入/输出包括接口输入输出、数据存储器、处理器、用户程序存储器和轮人接口。
如何将用户应用软件写入PLC？,用户将应用软件设计、调试完成后，用编程器写入PLC的用户程序存储器中，并将现场的输入信号和被控制的执行元件相应地连接在输入模板的输入端和输出模板的输出端上，然后通过PLC的控制开关使其处于运行工作方式。
PLC的工作方式有哪些？,PLC一般采用循环扫描工作方式，在大、中型PLC中还增加了中断工作方式。
PLC如何完成预定的控制任务？,在输入信号和用户程序的控制下，PLC以循环顺序扫描的方式工作，产生相应的输出信号，完成预定的控制任务。]
在一个扫描周期中，PLC完成了哪些模块的处理过程？,PLC在一个扫描周期中完成了自诊断模块、编程器处理模块、网络处理模块、输入模块、用户程序处理模块和输出模块的处理过程。
自诊断模块在PLC的每个扫描周期内做什么？,自诊断模块在PLC的每个扫描周期内执行自诊断程序，其中主要包括软件系统的校验、硬件RAM的测试、CPU的测试、总线的动态测试等。如果发现异常现象，PLC在作出相应保护处理后停止运行，并显示出错信息。
编程器处理模块的主要功能是什么？,编程器处理模块主要完成与编程器进行信息交换的扫描过程。如果PLC工作方式设置为编程工作方式，则当CPU执行到这里时马上将总线控制权交给编程器，这时用户可以通过编程器进行在线监视和修改内存中用户程序，启动或停止CPU，读出CPU状态，封锁或开放输入/输出，对逻辑变量和数字变量进行读写等。
网络处理模块的主要功能是什么？,网络处理模块主要完成与网络进行信息交换的扫描过程。只有当PLC配置了网络功能时，才执行该扫描过程，它主要用于PLC之间，PLC与磁带机，或PLC与计算机之间进行信息交换。
PLC的CPU是如何处理用户程序的？,在用户程序处理过程中，PLC中的CPU采用查询方式，首先通过输入模块采样现场的状态数据，并传送到输入映像区。在PLC按照梯形图（用户程序）先左后右、先上后下的顺序执行用户程序的过程中，根据需要可在输入映像区中提取有关现场信息，在输出映像区中提取有关的历史信息，并在处理后可将其结果存入输出映像区，供下次使用或者以备输出。
用户程序执行完成后会进入什么扫描过程？,用户程序执行完成后就进入输出服务扫描过程，CPU将输出映像区中要输出的状态值按顺序传送到输出数据寄存器，然后再通过输出模块的转换后送去控制现场的有关执行元件。
超时检查过程是由什么来完成的？,超时检查过程是由PLC内部的看门狗定时器WDT（Watch Dog Timer）来完成。若扫描周期时间没有超过WDT的设定时间，则继续执行下一个扫描周期；否则CPU将停止运行，复位输入/输出，并在进行报警后转入停机扫描过程。
当PLC自诊断出错或超时出错时，会进行什么操作？,当自诊断出错或超时出错时，进行报警，出错显示，并作相应处理（例如，将全部输出端口置为OFF状态，保留目前执行状态等），然后停止扫描过程。
什么是PLC，它在控制领域中扮演什么角色？,PLC是Programmable Logic Controller的缩写，是一种用于控制工业过程和机械的数字逻辑控制器。它具有可靠性高、编程简单、使用方便、灵活性好等优点，在控制领域中与数控技术和工业机器人一起组成了机械工业自动化的三大支柱。
PLC在数控系统中起到什么作用？,在数控系统中，PLC是介于数控装置与机床之间的中间环节，根据输入的离散信息，在内部进行逻辑运算，并完成输出功能。它可以实现功能更强的数字控制。
如何将PLC和CNC结合使用以实现更强大的控制功能？,在机械加工领域中，将具有逻辑处理功能的PLC和CNC组成一体，可以实现功能更强的数字控制。例如，日本FANUC公司推出的System 10/11/12已将PLC控制功能作为CNC的一部分，并且通过窗口软件，用户可以自行编程，然后由PLC送至CNC装置使用。
现代数控系统中采用PLC实现控制时如何分类？,在现代数控系统中采用PLC实现控制时可分为内装型（built-in-type）PLC和独立型（stand-alone-type）PLC两种。
什么是内装型PLC？,内装型PLC是指PLC内含在CNC装置内，从属于CNC装置，与CNC装置集于现场执行元件输出信号。内装型PLC的硬件和软件被作为CNC系统的基本功能统一设计，并且其性能指标也由CNC系统来确定。
什么是内装型PLC，它与CNC装置之间的信号传送是如何进行的？,内装型PLC是与所从属CNC装置之间的信号传送均在其内部进行的PLC，且不单独配置I/O接口，通过CNC装置本身的I/O电路完成输入/输出功能。内装型PLC的硬件电路可以单独设计在其自己的印制电路板内，也可以安排在CNC装置的某一块电路板中。
内装型PLC有哪些结构形式，分别适用于哪些场合？,内装型PLC有两种结构形式：与CNC共用一个CPU和为PLC设置专用的CPU。前者可进一步更充分地利用CNC装置中CPU的余力来完成PLC的功能，适用于PLC功能相对简单的场合；后者由于有自己的CPU来专门负责PLC的功能，能力强，适合于规模较大、逻辑复杂、动作速度要求较快的控制场合。
什么是独立型PLC，它与CNC装置之间有何关系？,独立型PLC是一个通用型PLC，完全独立于CNC装置，具有完备的硬件和软件，能够独立完成CNC系统所要求的控制任务。
独立型PLC需要进行哪些连接？,独立型PLC需要进行机床侧的1/O连接和CNC装置侧的1/O连接。
独立型PLC一般采用什么结构，I/O点数和规模如何配置？,独立型PLC一般采用模块化结构，装在插板式机笼内，I/O点数和规模可通过1/O模块插板的增减灵活配置。
对于数控车床、数控铣床和加工中心等单台数控设备，所需PLC的I/O点数一般在多少点以下？,对于数控车床、数控铣床和加工中心等单台数控设备，所需PLC的I/O点数大多在128点以下。
对于大型设备，如FMC、FMS、FA、CIMS，需要选用哪种PLC？,对于大型设备，如FMC、FMS、FA、CIMS，则需要选用中型或大型PLC。
独立型PLC的造价较高，所以其性能价格比如何？,独立型PLC的造价较高，所以其性能价格比不如内装型PLC。
内装型PLC和独立型PLC的作用是否相同？,内装型PLC和独立型PLC的作用是一样的，都是配合CNC装置实现刀具轨迹控制和机床顺序控制。
M功能的实现是什么？,M功能的实现是用PLC程序代替以往的继电器线路实现M功能的控制和译码，即按照预先规定的逻辑顺序对诸如主轴的启停、转向、转数，刀具的更换，工件的夹紧、松开、液压、气动、冷却、润滑系统的运行等进行控制。
什么是M代码编程，它可以控制哪些操作？,M代码编程可以控制主轴的正反转及停止、主轴齿轮箱的变速、冷却液的开关、卡盘的夹紧和松开以及自动换刀装置的取刀和还刀等操作。
辅助功能有哪些类型，它们的特点是什么？,辅助功能分为四类：段前辅助功能（1类）、段后辅助功能（A类）、本程序段内起作用的辅助功能（C类）和一直有效的辅助功能（H类）。它们的执行条件和持续时间不同。
S功能的作用是什么，如何进行编程？,S功能主要完成主轴转速的控制，可以通过S2位代码形式和S4位代码形式进行编程。S2位代码编程是指S代码后跟随2位十进制数字来指定主轴转速，共有100级分度，并且按等比级数递增。
什么是S2位代码在PLC中的处理框图？,S2位代码在PLC中的处理框图是处理S2代码的流程，包括“译S代码”、“数据转换”、“上、下限幅处理”和“D/A转换”，最终输出一个控制电压给主轴控制系统或主轴变频器。
S4位代码编程是什么？,S4位代码编程是指在S代码后跟随4位十进制数字直接指定主轴转速，如S1500表示主轴转速为1500r/min。相对于S2代码形式，S4位代码表示的转速范围为0～9999r/min，处理过程更简单，不需要“译S代码”和“数据转换”两个环节。
上、下限幅处理的目的和作用是什么？,上、下限幅处理的目的是保证主轴转速处于一个安全范围内，如将其限制在20～3000r/min范围内。一旦给定超过上下边界时，则取相应边界值作为输出，从而保证主轴转速的稳定性和安全性。
在有的系统中，如何提高主轴转速的稳定性并保证低速时的切削力？,在有的系统中，为了提高主轴转速的稳定性并保证低速时的切削力，增设了一级齿轮箱变速，并且可以通过辅助功能代码来进行换挡选择。例如，使用M38代码可将主轴转速变换成20～600r/min范围，用M39代码可将主轴转速变换成600～3000r/min范围。
什么是T功能，它在数控机床中的作用是什么？,T功能即为刀具功能，表示要求的刀具号和刀具补偿号。数控机床根据T代码可以管理刀库，自动更换刀具，进行选刀和换刀控制。
换刀控制方式有哪些分类，它们的特点是什么？,换刀控制方式可以分为随机存取换刀控制和固定存取换刀控制。随机存取换刀控制中，取刀和还刀与刀具座编号无关，还刀位置是随机变动的，一次完成取刀、换刀、存刀，缩短了换刀时间，提高了生产效率，但控制和管理较复杂。固定存取换刀控制中，被取刀具和被还刀具的位置都是固定的，增加了换刀时间，但控制较简单。
什么是T代码，它在加工程序中的作用是什么？,T代码是加工程序中的指令，用于指定刀具编号。经过译码处理后，由CNC系统控制软件将有关信息传送给PLC，PLC会找到T代码指定刀号对应的刀具编号并与目前使用的刀号进行比较，从而确定是否需要进行换刀操作。
在PLC中，T代码指令的处理过程是什么？,在PLC中，T代码指令首先被译码处理，然后找到T代码指定刀号对应的刀具编号。PLC会将该编号与目前使用的刀号进行比较，如果相同则说明不需要换刀，否则需要进行换刀操作。换刀过程包括将主轴上的现行刀具归还到它的固定刀座号上，然后回转刀库，找到新的刀具位置，最后取出所需刀具装在刀架上。
数控装置的输入输出信号大致包括哪些类型？,数控装置的输入输出信号大致包括开关量输入输出、模拟量输出、位置反馈输入、手轮输入和通信与网络接口等类型。其中，开关量输入输出用于完成机床的开关量辅助功能控制及数控系统与机床信号的交换；模拟量输出用于控制进给伺服与主轴驱动；位置反馈输入用于各进给轴与主轴位置传感器的接收、处理及计数；手轮输入用于连接MPG手轮脉冲发生器；通信与网络接口通常包括标准的RS-232C接口、20mA电流环及RS-422远程通信接口，还可以选择配置各种网络接口。
什么类型的开关量输入在数控系统中较为常见？,直流开关量输入在数控系统中较为常见。
直流开关量输入接口的功能是什么？,直流开关量输入接口的功能包括信号电隔离、滤波防扰动和电平转换。它将＋24V机床侧开关信号转换为TTL电平信号。
当开关量输入有效时，典型消耗电流为多少？,当开关量输入有效时，典型消耗电流小于10mA。
直流开关量输出接口用于驱动什么？,直流开关量输出信号用于驱动机床强电箱中的中间继电器线圈和指示灯等，进而由中间继电器触点进一步控制外部接触器、电磁阀等。
每个中间继电器的典型驱动电流为多少？,每个中间继电器（一般为＋24V或＋12V）的典型驱动电流为数十毫安。
什么是触点型直流开关量输出，通常采用什么？,触点型直流开关量输出通常采用高可靠性微型继电器，其体积与集成电路相似。
电压型直流开关量输出是什么，与无源输出有何不同？,电压型直流开关量输出为有源输出，与无源输出不同。
在开关量输入电路中，应注意哪些问题？,应注意开关量信号检测元件与CNC接口电路的配接、开关量信号检测元件类型、数控装置的输入电路形式等问题。
在开关量输出电路中，如何驱动交流负载或超过输出信号最大允许值的直流负载？,应首先驱动24V中间继电器，然后用其触点控制强电线路中的功率接触器或直接驱动负载。同时应注意，中间继电器线圈一定要并联保护二极管，并注意二极管的方向。
如何提高整个系统的抗干扰能力？,弱电信号与强电驱动信号在走线槽中要尽量分别走线，并在交流接触器线圈两端就近并联RC灭弧器。交流电动机每相之间也要用一个灭弧器，每个交流电动机用三个。
为什么不能使±10V电压对应G00转速？,由于位置环控制是一动态过程，如果使满量程最高电压±10V电压对应G00转速，则其没有上升调整的电压裕量，容易产生报警。
许多机床主轴驱动的正反转切换是怎么完成的？,许多机床主轴驱动的正反转切换是靠M03/M04控制开关量完成的，而不是靠主轴驱动控制电压的正负来完成。
数控装置主轴控制电压有哪些输出方式？,数控装置主轴控制电压有两种输出方式：单极性0～+10V输出或双极性0～±10V输出，可以通过系统内部参数选择。
位置反馈输入信号包括哪些？,位置反馈输入信号包括光电脉冲编码器、旋转变压器、直线光栅、直线感应同步器等。不同的检测元件与CNC数控装置的接口不同，因此一种数控系统通常只能接一种或两种位置传感器。
为什么不能随意选择位置传感器？,由于位置传感器是进给系统最终位置观测的“眼睛”，如果检测信号受到干扰，则计算机会产生错误的位置修正，这种误差是无法重新修正回来的。因此，位置传感器不能随意选择。
在长距离传输时，电源线需要考虑什么问题？,电源线需要考虑衰减问题，因此通常采用较粗的线或采用两根以上的线连接，以减小电阻。
为了抵消传输压降，有些系统可以如何调整电源电压？,有些系统可以将电源电压略调高一些，如调至5.15V。
MPG接口信号通常使用多少根信号线与数控系统相连？,MPG接口信号通常使用4根信号线与数控系统相连，分别是＋5V、GND、A、B。
如何判断MPG的正反转以及控制坐标轴移动的距离？,数控系统通过判断MPG的A、B信号相位超前或滞后关系来判断MPG的正反转，通过检测MPG所发脉冲个数来控制坐标轴移动的距离。
连接数控装置与外部设备时需要注意哪些问题？,连接数控装置与外部设备时需要注意不同公司的伺服驱动装置的反馈回路形式不同，需要仔细阅读其说明书，了解其速度环的构成及位置信号的获取。此外，当前多数数控装置仍采用0～±10V模拟电压与位置反馈信号接口的方式与伺服驱动连接。
位置传感器的选择应考虑哪些因素？,位置传感器的选择应与机械传动、位置分辨率等一起考虑。
调整零漂电位器的目的是什么？,完成精调，使正反向运动时跟随误差相同。
最高进给速度调整时应如何操作？,调整伺服驱动器上的增益调整电位器，使得数控装置输出9.5V时对应G00速度。运行上述运动程序，对应模拟电压应为—9.5V和＋9.5V。
变增益参数调整时应如何操作？,首先使k1=k2或设定Eb为一个很大的值，使k2无效，设定值为“单位增益”。如果希望取得更佳的性能，则需使用示波器测量定位过程中位置的响应曲线，以达到不产生超调的最大增益设定。通常在数控机床上，增益的范围为15～80（s—1）。
最大切削速度如何调整？,运行如下程序（设最大切削速度为5m/min），数控系统显示器上显示出的就是最大切削速度时对应的跟随误差。设定E，为此值或略大于此值，如可设为6mm。最后，设定k2为k1的50％～70％左右即可。
增益最终校正的目的是什么？,为取得最小的轮廓加工误差，各插补轴的增益必须尽可能准确一致。
如何调整数控系统的轴增益？,   答：需反复调整各轴增益，使在不同速度下各轴跟随误差一致。
数控系统对主轴驱动的转速控制有哪些方式？,   答：有模拟电压方式与开关量方式两种。
开关量方式分为哪几种？,   答：开关量方式又分为2位BCD码、4位BCD码及12位二进制码三种。
模拟量方式和开关量方式各有什么特点？,   答：模拟量方式连接简单，只需两根信号线。开关量方式有传送距离远、信号无漂移、没有转换误差等优点。
如何指定数控装置的输出接口相应电压或开关量编码？,   答：当指定不同的S指令值时，在数控装置的输出接口应测得相应的电压或开关量编码。
